strategy,tf,entry_time,exit_time,bars,net_bps,gross_bps,cost_bps
ZBandAUDCADH1,H1,2020-01-03 09:00:00,2020-01-07 23:00:00,48,-110.91220639961715,-108.33413952453,2.5780668750871443
ZBandAUDCADH1,H1,2020-01-08 00:00:00,2020-01-08 17:00:00,16,43.02411512812076,44.54398094500685,1.5198658168860861
ZBandAUDCADH1,H1,2020-01-09 16:00:00,2020-01-14 16:00:00,48,-45.09808177816886,-42.520014903081716,2.5780668750871443
ZBandAUDCADH1,H1,2020-01-16 13:00:00,2020-01-16 15:00:00,2,39.75593457167431,40.81283742559743,1.056902853923123
ZBandAUDCADH1,H1,2020-01-16 17:00:00,2020-01-22 03:00:00,48,-46.960188133209,-44.382121258121856,2.5780668750871443
ZBandAUDCADH1,H1,2020-01-22 23:00:00,2020-01-24 15:00:00,27,18.530832081166132,20.41445451180883,1.8836224306426999
ZBandAUDCADH1,H1,2020-01-27 11:00:00,2020-01-29 20:00:00,39,-18.613413456479257,-16.332965629011163,2.2804478274680964
ZBandAUDCADH1,H1,2020-01-30 14:00:00,2020-02-03 05:00:00,33,-1.884610051841898,0.1974250772135003,2.0820351290553982
ZBandAUDCADH1,H1,2020-02-03 19:00:00,2020-02-06 15:00:00,48,-71.2841344944824,-68.70606761939526,2.5780668750871443
ZBandAUDCADH1,H1,2020-02-07 09:00:00,2020-02-11 02:00:00,28,7.737812095251904,9.654503308963386,1.9166912137114829
ZBandAUDCADH1,H1,2020-02-12 11:00:00,2020-02-12 23:00:00,10,54.74812055977041,56.0695736782438,1.3214531184733878
ZBandAUDCADH1,H1,2020-02-14 12:00:00,2020-02-20 00:00:00,48,-79.23053143119954,-76.65246455611239,2.5780668750871443
ZBandAUDCADH1,H1,2020-02-20 01:00:00,2020-02-24 11:00:00,48,-57.42503065988742,-54.84696378480027,2.5780668750871443
ZBandAUDCADH1,H1,2020-02-25 01:00:00,2020-02-25 12:00:00,11,31.304473629711296,32.65899553125347,1.3545219015421708
ZBandAUDCADH1,H1,2020-02-26 07:00:00,2020-02-27 07:00:00,22,15.19382970917021,16.912108224468994,1.7182785152987845
ZBandAUDCADH1,H1,2020-02-27 14:00:00,2020-02-28 10:00:00,19,33.59275758390201,35.21182974999444,1.6190721660924354
ZBandAUDCADH1,H1,2020-02-28 17:00:00,2020-03-03 03:00:00,32,24.848204286746487,26.897170632733104,2.0489663459866154
ZBandAUDCADH1,H1,2020-03-03 12:00:00,2020-03-05 19:00:00,48,-82.97465734274968,-80.39659046766253,2.5780668750871443
ZBandAUDCADH1,H1,2020-03-06 10:00:00,2020-03-09 01:00:00,15,33.379647628740074,34.86644466255738,1.486797033817303
ZBandAUDCADH1,H1,2020-03-09 10:00:00,2020-03-10 05:00:00,18,35.22491473017458,36.810918113198234,1.5860033830236522
ZBandAUDCADH1,H1,2020-03-12 08:00:00,2020-03-16 13:00:00,48,-385.83903085868764,-383.2609639836005,2.5780668750871443
ZBandAUDCADH1,H1,2020-03-18 17:00:00,2020-03-19 14:00:00,19,68.18508784590544,69.80416001199788,1.6190721660924354
ZBandAUDCADH1,H1,2020-03-24 01:00:00,2020-03-25 14:00:00,36,-26.91301830085887,-24.731776822597123,2.1812414782617475
