muốn,symbol,loại,trạng thái,n_ticks,spread_price_med,spread_bps_med,spread_bps_p25,spread_bps_p75,spread_bps_p95,mid,swap_long_raw,swap_short_raw,swap_mode,swap_long_pct_year,swap_short_pct_year,broker_markup_pct_year,point,contract,digits,spread_ước_pip,spread_thật_pip,tỷ_lệ_thật/ước
EURUSD,EURUSD,major,OK,19483,0.0,0.0,0.0,0.0866907956053446,0.08672462762669828,1.15348,-0.7,-1.0,1,-0.221548760237417,-0.31649822891059576,0.26902349457400637,1e-05,100000.0,5,,,
GBPUSD,GBPUSD,major,OK,20000,0.0,0.0,0.0,0.07410838351137017,0.07414025111351623,1.34916,-0.2,-2.2,1,-0.05411395806538894,-0.5952535387192784,0.3246837483923337,1e-05,100000.0,5,,,
USDJPY,USDJPY,major,OK,20000,0.0020000000000095497,0.12544533092359925,0.06272010838064677,0.18814852444431293,0.25091741680460916,159.453,-0.1,-0.6,1,-0.02289097311721746,-0.13734583870330475,0.0801184059102611,0.001,100000.0,3,,,
AUDUSD,AUDUSD,major,OK,20000,1.0000000000065512e-05,0.14161597994653274,0.14156385591723486,0.2831577755127987,0.283270069683148,0.706275,6.3,-14.8,1,3.257289770594443,-7.652045810285359,2.197378019845458,1e-05,100000.0,5,,,
USDCAD,USDCAD,major,OK,19609,1.0000000000065512e-05,0.07179910610159941,0.0,0.07182179575923514,0.14364101238279628,1.39249,-0.8,-0.4,1,-0.20961501188057693,-0.10480750594028847,0.1572112589104327,1e-05,100000.0,5,,,
USDCHF,USDCHF,major,OK,20000,1.0000000000065512e-05,0.12289013008000778,0.12283578697898294,0.2456942089877399,0.36849378166712105,0.814045,0.1,-1.0,1,0.04481827111984283,-0.44818271119842834,0.20168222003929276,1e-05,100000.0,5,,,
NZDUSD,NZDUSD,major,OK,20000,9.99999999995449e-06,0.1707460749757201,0.0,0.17088028981219386,0.3417693398728618,0.585635,2.8,-6.7,1,1.7455911866433238,-4.176950339467954,1.215679576412315,1e-05,100000.0,5,,,
EURGBP,EURGBP,cross,OK,9471,2.999999999997449e-05,0.35087924490886513,0.23394275420827926,0.35092028845617873,0.46787456283017326,0.854915,-1.2,-0.4,1,-0.5123466176935045,-0.17078220589783485,0.3415644117956697,1e-05,100000.0,5,0.9,0.2999999999997449,0.3333333333330499
EURAUD,EURAUD,cross,OK,20000,5.999999999994898e-05,0.36720380423109966,0.30607528839872716,0.36745117492617924,0.42874686478864,1.6330149999999999,-23.5,9.6,1,-5.25060907677428,2.1449296654056633,1.5528397056843084,1e-05,100000.0,5,1.6,0.5999999999994898,0.37499999999968114
EURNZD,EURNZD,cross,OK,12553,0.00010000000000021103,0.5077920693034057,0.4569513727576938,0.6090937699853715,0.9137334131996251,1.96975,-17.1,6.6,1,-3.16871644518905,1.2230133648098087,0.9728515401896206,1e-05,100000.0,5,2.2,1.0000000000021103,0.45454545454641376
GBPAUD,GBPAUD,cross,OK,20000,9.000000000014552e-05,0.47124736559592356,0.4188350104177772,0.5236671362226373,0.6282985674787318,1.909945,-20.9,7.2,1,-3.992077073226892,1.3752610013030442,1.3084080359619241,1e-05,100000.0,5,2.2,0.9000000000014552,0.40909090909157053
GBPNZD,GBPNZD,cross,OK,17014,0.00010000000000021103,0.43410691185116657,0.3906750213249766,0.5209011590046358,0.6509809197496522,2.3040399999999996,-17.0,5.4,1,-2.692984569046519,0.8554186278147767,0.918782970615871,1e-05,100000.0,5,3.0,1.0000000000021103,0.33333333333403675
AUDNZD,AUDNZD,cross,OK,16879,4.0000000000040004e-05,0.3316639580761663,0.24890172115519016,0.4143514777854199,0.6628387727546751,1.2060300000000002,-2.5,-15.2,1,-0.7567778266170165,-4.60120918583146,2.6789935062242383,1e-05,100000.0,5,1.5,0.40000000000040004,0.26666666666693334
EURJPY,EURJPY,cross,OK,20000,0.004000000000019099,0.21753435683197525,0.2174858634183709,0.27186398101277226,0.3261649524886509,183.918,-0.2,-1.2,1,-0.039698940636488225,-0.2381936438189293,0.13894629222770877,0.001,100000.0,3,1.0,0.40000000000190994,0.40000000000190994
GBPJPY,GBPJPY,cross,OK,20000,0.00899999999998613,0.41827489490910896,0.3254655901507139,0.4648611459752743,0.6043461787890869,215.122,0.3,-2.2,1,0.0509065550906555,-0.37331473733147374,0.16120409112040912,0.001,100000.0,3,1.8,0.899999999998613,0.49999999999922945
AUDJPY,AUDJPY,cross,OK,20000,0.0049999999999954525,0.44395707823053476,0.35515777884368516,0.5327839738580865,0.7103092508897125,112.62049999999999,5.6,-12.8,1,1.8158478028152747,-4.150509263577771,1.1673307303812481,0.001,100000.0,3,1.3,0.49999999999954525,0.3846153846150348
NZDJPY,NZDJPY,cross,OK,20000,0.0049999999999954525,0.5354723669480166,0.4284306584984457,0.6425496369594795,1.0714444517723725,93.371,-2.8,-6.1,1,-1.094763452896785,-2.3850203795251383,1.7398919162109616,0.001,100000.0,3,1.7,0.49999999999954525,0.29411764705855603
