symbol,sweep_hour,n,reclaim_pct,R_TB,TP_pct
EURUSD,7,2116,96.4083,0.1203,23.5822
EURUSD,8,468,94.8718,0.123,19.6581
EURUSD,9,137,93.4307,-0.158,14.5985
EURUSD,10,80,93.75,0.2751,17.5
EURUSD,11,57,94.7368,-0.1319,10.5263
EURUSD,12,54,94.4444,-0.0123,24.0741
EURUSD,13,32,96.875,0.0093,3.125
EURUSD,14,28,85.7143,-0.0654,3.5714
EURUSD,15,6,100.0,0.2794,0.0
GBPUSD,7,1194,96.4824,-0.073,19.0955
GBPUSD,8,263,96.9582,0.1621,22.4335
GBPUSD,9,101,97.0297,-0.0867,12.8713
GBPUSD,10,37,100.0,-0.0833,10.8108
GBPUSD,11,23,95.6522,-0.4293,13.0435
GBPUSD,12,27,100.0,-0.2189,11.1111
GBPUSD,13,17,94.1176,-0.3001,0.0
GBPUSD,14,11,90.9091,0.0279,9.0909
GBPUSD,15,4,75.0,0.1292,0.0
USDJPY,7,829,94.813,0.0142,12.9071
USDJPY,8,257,96.1089,-0.2304,10.8949
USDJPY,9,115,93.913,-0.1066,12.1739
USDJPY,10,67,97.0149,0.4506,16.4179
USDJPY,11,65,86.1538,-0.0336,9.2308
USDJPY,12,123,89.4309,-0.0053,7.3171
USDJPY,13,64,89.0625,-0.2923,1.5625
USDJPY,14,41,90.2439,-0.2493,0.0
USDJPY,15,27,88.8889,-0.1979,0.0
