symbol,nhóm reclaim,n,R_TB,TP_pct,sau_pip,RR_TV
EURUSD,"(0, 5]",1009,0.1257,22.9931,2.0,3.7785
EURUSD,"(5, 15]",278,-0.1504,23.741,5.225,2.7027
EURUSD,"(15, 30]",131,-0.1823,27.4809,7.9,2.0727
EURUSD,"(30, 60]",125,-0.0803,32.0,11.85,1.5299
EURUSD,"(60, 120]",79,0.0223,34.1772,15.85,1.2741
EURUSD,"(120, 240]",49,0.1328,36.7347,23.35,0.9325
EURUSD,"(240, 10000]",54,-0.1268,20.3704,34.375,0.7105
GBPUSD,"(0, 5]",566,0.0294,19.6113,2.4,4.4598
GBPUSD,"(5, 15]",168,0.0886,27.9762,6.7,2.731
GBPUSD,"(15, 30]",88,-0.1099,29.5455,10.45,2.2755
GBPUSD,"(30, 60]",60,-0.3227,25.0,15.85,1.5993
GBPUSD,"(60, 120]",44,0.0124,38.6364,20.9,1.2907
GBPUSD,"(120, 240]",40,-0.1274,32.5,31.0,0.9706
GBPUSD,"(240, 10000]",26,0.0203,26.9231,45.425,0.6233
USDJPY,"(0, 5]",482,0.0514,11.4108,2.25,5.982
USDJPY,"(5, 15]",138,0.0688,19.5652,5.7,3.8637
USDJPY,"(15, 30]",84,-0.1426,14.2857,10.975,2.8804
USDJPY,"(30, 60]",50,0.1607,26.0,11.225,2.2447
USDJPY,"(60, 120]",39,-0.1459,23.0769,17.05,1.9701
USDJPY,"(120, 240]",20,-0.0393,5.0,23.95,1.4578
USDJPY,"(240, 10000]",24,-0.1037,12.5,42.375,1.0534
