symbol,nhóm sâu,n,reclaim_pct,R_TB,TP_pct
EURUSD,"(0.0, 0.05]",1260,100.0,0.2201,18.0159
EURUSD,"(0.05, 0.1]",495,100.0,0.1695,22.4242
EURUSD,"(0.1, 0.2]",474,99.789,-0.1572,19.6203
EURUSD,"(0.2, 0.35]",259,100.0,0.0501,33.2046
EURUSD,"(0.35, 0.6]",179,98.324,0.0506,35.1955
EURUSD,"(0.6, 100.0]",311,61.0932,-0.0857,21.2219
GBPUSD,"(0.0, 0.05]",736,100.0,-0.0796,11.0054
GBPUSD,"(0.05, 0.1]",264,100.0,-0.095,17.0455
GBPUSD,"(0.1, 0.2]",245,100.0,0.0516,23.2653
GBPUSD,"(0.2, 0.35]",163,100.0,0.1256,31.9018
GBPUSD,"(0.35, 0.6]",98,96.9388,-0.3617,22.449
GBPUSD,"(0.6, 100.0]",171,68.4211,0.0989,31.5789
USDJPY,"(0.0, 0.05]",829,99.8794,-0.0804,8.3233
USDJPY,"(0.05, 0.1]",230,100.0,0.0109,12.1739
USDJPY,"(0.1, 0.2]",188,100.0,-0.002,13.8298
USDJPY,"(0.2, 0.35]",135,98.5185,0.0306,20.7407
USDJPY,"(0.35, 0.6]",66,93.9394,-0.02,19.697
USDJPY,"(0.6, 100.0]",140,35.0,0.0294,8.5714
