symbol,,lọc,R ròng,t,n
EURUSD,False,F1,-0.065,-1.589,1316.0
EURUSD,True,F1,-0.12,-2.658,1091.0
GBPUSD,False,F1,-0.15,-2.807,804.0
GBPUSD,True,F1,-0.197,-3.151,607.0
USDJPY,False,F1,-0.09,-1.298,663.0
USDJPY,True,F1,-0.177,-2.354,482.0
EURUSD,"hẹp<0,80",F2,-0.116,-2.398,677.0
EURUSD,thường,F2,-0.112,-2.53,1106.0
EURUSD,"rộng>1,25",F2,-0.024,-0.339,624.0
GBPUSD,"hẹp<0,80",F2,-0.124,-1.795,401.0
GBPUSD,thường,F2,-0.135,-2.246,648.0
GBPUSD,"rộng>1,25",F2,-0.282,-3.275,362.0
USDJPY,"hẹp<0,80",F2,-0.242,-3.164,376.0
USDJPY,thường,F2,-0.027,-0.303,453.0
USDJPY,"rộng>1,25",F2,-0.134,-1.319,316.0
EURUSD,07-09,F3,-0.098,-2.645,1690.0
EURUSD,10-12,F3,-0.136,-1.95,446.0
EURUSD,13-15,F3,0.037,0.479,271.0
GBPUSD,07-09,F3,-0.118,-2.36,1025.0
GBPUSD,10-12,F3,-0.318,-3.793,263.0
GBPUSD,13-15,F3,-0.285,-2.85,123.0
USDJPY,07-09,F3,-0.045,-0.589,630.0
USDJPY,10-12,F3,-0.29,-3.017,265.0
USDJPY,13-15,F3,-0.159,-1.916,250.0
EURUSD,<5,F4,-0.096,-2.333,1436.0
EURUSD,5-10,F4,-0.12,-2.301,743.0
EURUSD,10-25,F4,0.031,0.356,216.0
GBPUSD,<5,F4,-0.182,-2.853,646.0
GBPUSD,5-10,F4,-0.125,-1.85,520.0
GBPUSD,10-25,F4,-0.237,-3.053,230.0
USDJPY,<5,F4,-0.185,-2.322,492.0
USDJPY,5-10,F4,-0.085,-0.969,426.0
USDJPY,10-25,F4,-0.087,-0.817,203.0
EURUSD,nửa SAI,F5,-0.086,-0.851,327.0
EURUSD,nửa ĐÚNG,F5,-0.091,-2.892,2080.0
GBPUSD,nửa SAI,F5,-0.159,-1.032,181.0
GBPUSD,nửa ĐÚNG,F5,-0.171,-4.22,1230.0
USDJPY,nửa SAI,F5,0.073,0.387,153.0
USDJPY,nửa ĐÚNG,F5,-0.158,-3.068,992.0
EURUSD,False,F6,-0.221,-3.36,462.0
EURUSD,True,F6,0.04,0.547,482.0
EURUSD,2,F6,-0.022,-0.338,486.0
EURUSD,3,F6,-0.13,-1.892,489.0
EURUSD,4,F6,-0.121,-1.827,488.0
GBPUSD,False,F6,-0.109,-1.144,274.0
GBPUSD,True,F6,-0.14,-1.543,282.0
GBPUSD,2,F6,-0.153,-1.601,279.0
GBPUSD,3,F6,-0.255,-2.944,290.0
GBPUSD,4,F6,-0.187,-2.195,286.0
USDJPY,False,F6,-0.276,-2.989,219.0
USDJPY,True,F6,-0.14,-1.306,237.0
USDJPY,2,F6,-0.195,-1.68,229.0
USDJPY,3,F6,0.066,0.496,238.0
USDJPY,4,F6,-0.101,-0.879,222.0
