giờ bắt đầu,ALL,OOS,n,net,t
8,0.882,0.842,1582,2.05,2.72
7,0.546,0.538,1635,1.35,1.68
9,0.336,0.31,1547,0.75,1.03
3,0.319,0.281,1636,0.9,0.98
4,0.242,-0.074,1654,0.65,0.75
10,0.215,0.176,1522,0.47,0.66
6,0.208,-0.234,1652,0.52,0.64
12,0.077,-0.099,1501,0.15,0.24
13,0.063,-0.047,1261,0.11,0.19
5,0.035,-0.691,1661,0.09,0.11
11,0.027,-0.489,1540,0.05,0.08
15,-0.375,-0.039,463,-0.56,-1.15
14,-0.482,-0.259,948,-0.78,-1.48
2,-2.947,-3.067,1478,-9.21,-9.17
1,-6.58,-6.575,1409,-21.64,-21.59
0,-8.536,-8.702,1323,-32.59,-29.99
