ngay,entry_time,exit_time,side,bars,reason,range_bps,entry_px,exit_px,sl_px,gross_bps,cost_bps,net_bps
2020-01-02,2020-01-02 04:30:00,2020-01-02 14:30:00,1,19,SL,8.652589333381881,108.7425,108.638,108.638,-9.609858151137006,1.2269243701310382,-10.836782521268045
2020-01-03,2020-01-03 07:30:00,2020-01-03 17:00:00,-1,19,TIME_EXIT,40.87962962962877,107.9485,107.934,108.44149999999999,1.3432331157911581,1.2269243701310382,0.11630874566011995
2020-01-06,2020-01-06 04:00:00,2020-01-06 17:00:00,1,26,TIME_EXIT,15.799618214503205,108.09299999999999,108.37450000000001,107.914,26.042389423924078,1.2847947405014086,24.75759468342267
2020-01-07,2020-01-07 04:30:00,2020-01-07 06:00:00,1,3,SL,11.16483354248128,108.49799999999999,108.376,108.376,-11.244446902245727,1.0946492378559058,-12.339096140101633
2020-01-08,2020-01-08 10:00:00,2020-01-08 17:00:00,1,14,TIME_EXIT,60.52370395792591,108.493,109.07900000000001,107.809,54.012701280268104,1.1855883912950593,52.82711288897305
2020-01-09,2020-01-09 05:30:00,2020-01-09 17:00:00,1,22,TIME_EXIT,9.61974521417712,109.2735,109.459,109.1505,16.975753499247727,1.2517259574326256,15.7240275418151
2020-01-10,2020-01-10 04:30:00,2020-01-10 16:00:00,1,22,SL,6.348307422495002,109.55000000000001,109.47800000000001,109.47800000000001,-6.572341396622795,1.2517259574326256,-7.824067354055421
2020-01-13,2020-01-13 05:00:00,2020-01-13 17:00:00,1,20,TIME_EXIT,4.608252879017351,109.638,109.914,109.586,25.173753625567432,1.235191565898234,23.9385620596692
2020-01-14,2020-01-14 07:30:00,2020-01-14 17:00:00,-1,19,TIME_EXIT,16.182259516169665,109.981,110.053,110.17500000000001,-6.54658531928267,1.2269243701310382,-7.773509689413708
2020-01-15,2020-01-15 09:00:00,2020-01-15 15:30:00,-1,12,SL,7.507780791002515,109.86250000000001,109.9685,109.9685,-9.648424166571354,1.169053999760668,-10.817478166332023
2020-01-16,2020-01-16 06:30:00,2020-01-16 17:00:00,1,20,TIME_EXIT,4.640730141541152,109.96600000000001,110.14750000000001,109.8965,16.505101576851004,1.235191565898234,15.26991001095277
2020-01-17,2020-01-17 10:00:00,2020-01-17 17:00:00,-1,13,TIME_EXIT,10.031547173237268,110.125,110.15700000000001,110.263,-2.9057888762779283,1.1773211955278635,-4.083110071805792
2020-01-20,2020-01-20 07:30:00,2020-01-20 19:00:00,-1,13,TIME_EXIT,5.2653796747259705,110.124,110.16550000000001,110.2115,-3.7684791689380535,1.1773211955278635,-4.945800364465917
