tf,công cụ,loại,n,φ,t(φ),φ_FORM,φ_OOS,cùng dấu,c* bps,chi phí bps,biên,khai thác
M30,EURGBP,cross,62226,-0.03867,-9.65,-0.04062,-0.03546,True,4.584,0.523,4.061,HỒI QUY
M30,EURAUD,cross,62226,-0.01725,-4.3,-0.02105,-0.01083,True,2.0,0.552,1.448,HỒI QUY
M30,EURNZD,cross,62226,-0.0255,-6.36,-0.02925,-0.01921,True,2.982,0.849,2.133,HỒI QUY
M30,GBPAUD,cross,62226,-0.02547,-6.35,-0.03211,-0.01449,True,2.978,0.713,2.265,HỒI QUY
M30,GBPNZD,cross,62226,-0.03342,-8.34,-0.04211,-0.01913,True,3.94,0.737,3.203,HỒI QUY
M30,AUDNZD,cross,62226,-0.0634,-15.82,-0.07075,-0.05127,True,7.714,0.554,7.16,HỒI QUY
M30,EURJPY,cross,62226,0.00353,0.88,-0.00548,0.01907,False,0.404,0.412,-0.008,ĐÀ
M30,GBPJPY,cross,62226,0.00767,1.91,-0.00443,0.02807,False,0.881,0.807,0.074,ĐÀ
M30,AUDJPY,cross,62226,0.00634,1.58,-0.00466,0.02445,False,0.727,0.803,-0.076,ĐÀ
M30,NZDJPY,cross,62226,0.00237,0.59,-0.00906,0.02122,False,0.271,0.88,-0.61,ĐÀ
M30,EURCHF,cross,62226,-0.04389,-10.95,-0.04926,-0.03468,True,5.231,0.46,4.771,HỒI QUY
M30,GBPCHF,cross,62226,-0.02912,-7.26,-0.03443,-0.02018,True,3.417,0.661,2.757,HỒI QUY
M30,AUDCHF,cross,62226,-0.01843,-4.6,-0.02431,-0.00854,True,2.139,0.987,1.152,HỒI QUY
M30,EURCAD,cross,62226,-0.03376,-8.42,-0.0219,-0.05385,True,3.982,0.506,3.476,HỒI QUY
M30,GBPCAD,cross,62226,-0.03024,-7.54,-0.02946,-0.03162,True,3.554,0.523,3.03,HỒI QUY
M30,AUDCAD,cross,62226,-0.02551,-6.36,-0.02999,-0.0181,True,2.983,0.99,1.992,HỒI QUY
M30,NZDCAD,cross,62226,-0.03031,-7.56,-0.03367,-0.0247,True,3.562,0.721,2.84,HỒI QUY
M30,CADJPY,cross,62226,0.01014,2.53,0.01014,0.01015,True,1.168,1.007,0.161,ĐÀ
M30,CHFJPY,cross,62226,-0.01666,-4.16,-0.02583,-0.00087,True,1.931,0.708,1.223,HỒI QUY
M30,CADCHF,cross,62226,-0.0282,-7.04,-0.02305,-0.03696,True,3.307,2.211,1.096,HỒI QUY
M30,EURUSD,major,75758,-0.02533,-6.97,-0.02883,-0.01972,True,2.962,0.908,2.054,HỒI QUY
M30,GBPUSD,major,75989,-0.01512,-4.17,-0.02421,-0.00016,True,1.749,1.2,0.549,HỒI QUY
M30,USDJPY,major,75246,0.0072,1.98,0.00552,0.01001,True,0.827,1.07,-0.243,ĐÀ
M30,AUDUSD,major,74080,-0.01049,-2.85,-0.01638,-0.0006,True,1.208,2.537,-1.329,HỒI QUY
M30,USDCAD,major,75348,-0.01916,-5.26,-0.01885,-0.01967,True,2.226,1.59,0.636,HỒI QUY
M30,USDCHF,major,71325,-0.02601,-6.95,-0.0347,-0.01227,True,3.044,1.727,1.317,HỒI QUY
M30,NZDUSD,major,74110,-0.01579,-4.3,-0.01988,-0.00917,True,1.828,2.909,-1.081,HỒI QUY
H1,EURGBP,cross,28891,-0.02473,-4.2,-0.02435,-0.02544,True,4.086,0.523,3.563,HỒI QUY
H1,EURAUD,cross,28891,-0.01271,-2.16,-0.01948,-0.00143,True,2.075,0.552,1.523,HỒI QUY
H1,EURNZD,cross,28891,-0.0124,-2.11,-0.01532,-0.00765,True,2.024,0.849,1.175,HỒI QUY
H1,GBPAUD,cross,28891,-0.01227,-2.09,-0.03031,0.01706,False,2.003,0.713,1.29,HỒI QUY
H1,GBPNZD,cross,28891,-0.01686,-2.87,-0.02639,-0.00137,True,2.764,0.736,2.028,HỒI QUY
H1,AUDNZD,cross,28891,-0.04843,-8.23,-0.0555,-0.03701,True,8.202,0.553,7.649,HỒI QUY
H1,EURJPY,cross,28891,0.00493,0.84,0.0055,0.00392,True,0.798,0.411,0.387,ĐÀ
H1,GBPJPY,cross,28891,0.0061,1.04,0.00077,0.01504,True,0.989,0.806,0.183,ĐÀ
H1,AUDJPY,cross,28891,0.00427,0.72,-0.01046,0.02823,False,0.69,0.803,-0.112,ĐÀ
H1,NZDJPY,cross,28891,-0.00139,-0.24,-0.01145,0.01499,False,0.225,0.88,-0.655,HỒI QUY
H1,EURCHF,cross,28891,-0.0285,-4.84,-0.02789,-0.02962,True,4.727,0.46,4.267,HỒI QUY
H1,GBPCHF,cross,28891,-0.01754,-2.98,-0.01911,-0.01496,True,2.877,0.661,2.216,HỒI QUY
H1,AUDCHF,cross,28891,-0.006,-1.02,-0.01585,0.01046,False,0.974,0.989,-0.015,HỒI QUY
H1,EURCAD,cross,28891,-0.01392,-2.37,-0.0052,-0.0286,True,2.275,0.506,1.769,HỒI QUY
