tf,rule,ALL,FORM,OOS,gross,phi,phi%,turn/năm,%tt
H1,ewmac_2_8,-4.458,-4.24,-5.001,-0.0574,0.492,49203881183.1,138.7,0.993
H1,ewmac_4_16,-2.629,-2.286,-3.383,-0.0466,0.2599,25992636681.1,72.4,0.993
H1,ewmac_8_32,-1.615,-1.294,-2.293,-0.0499,0.1373,13729119412.3,37.3,0.993
H1,ewmac_16_64,-1.446,-1.427,-1.498,-0.0921,0.077,7695677109.4,20.0,0.993
H1,ewmac_32_128,-1.105,-1.172,-0.991,-0.082,0.0464,4638823388.5,11.2,0.993
H1,ewmac_64_256,-0.773,-0.723,-0.871,-0.0618,0.0294,2935650076.4,6.4,0.991
H1,breakout_10,-4.19,-3.984,-4.651,-0.034,0.4361,43610757066.3,122.8,0.993
H1,breakout_20,-2.23,-1.783,-3.177,-0.0319,0.2078,20780464550.3,57.5,0.993
H1,breakout_40,-1.579,-1.283,-2.145,-0.0601,0.1112,11124159514.7,29.9,0.993
H1,breakout_80,-1.348,-1.448,-1.173,-0.083,0.0643,6429958220.3,16.4,0.993
H1,breakout_160,-0.84,-0.923,-0.693,-0.0526,0.0391,3910528049.3,9.2,0.993
H1,breakout_320,-0.638,-0.513,-0.87,-0.0467,0.0249,2491630279.5,5.2,0.993
H1,meanrev_fast,-1.948,-2.068,-1.751,0.0466,0.2599,558.0,72.4,0.993
H1,meanrev_slow,0.132,0.09,0.214,0.0921,0.077,83.5,20.0,0.993
H1,accel,-1.727,-1.298,-2.486,-0.0468,0.155,15498321547.6,42.4,0.991
H1,relmom_5d,-1.804,-1.625,-2.161,-0.057,0.1409,14090550945.1,37.7,0.993
H1,relmom_21d,-1.101,-0.914,-1.48,-0.0532,0.0697,6967551108.9,17.5,0.983
H1,skew,0.249,0.157,0.431,0.0367,0.0103,28.0,1.9,0.974
H1,relvol,-0.353,-0.436,-0.195,0.0125,0.0401,322.2,10.2,0.974
M30,ewmac_2_8,-9.135,-8.902,-9.711,-0.0931,0.4982,49822110526.5,283.3,0.993
M30,ewmac_4_16,-5.077,-4.887,-5.545,-0.0422,0.2584,25837762981.7,146.0,0.993
M30,ewmac_8_32,-2.825,-2.446,-3.637,-0.0219,0.1331,13314281400.1,74.3,0.993
M30,ewmac_16_64,-1.763,-1.408,-2.497,-0.0239,0.0719,7194301237.8,39.3,0.993
M30,ewmac_32_128,-1.542,-1.501,-1.632,-0.0423,0.0415,4152857903.9,21.8,0.993
M30,ewmac_64_256,-1.163,-1.249,-1.012,-0.0383,0.025,2498970630.5,12.3,0.993
M30,breakout_10,-8.952,-8.671,-9.605,-0.07,0.4433,44328362210.2,251.9,0.993
M30,breakout_20,-4.35,-4.086,-4.951,-0.0199,0.2079,20794096232.3,117.1,0.993
M30,breakout_40,-2.359,-1.879,-3.354,-0.0127,0.1066,10656098800.3,59.1,0.993
M30,breakout_80,-1.727,-1.415,-2.328,-0.029,0.0593,5925663784.7,32.0,0.993
M30,breakout_160,-1.468,-1.565,-1.301,-0.0406,0.0348,3477638627.4,17.9,0.993
M30,breakout_320,-0.885,-1.021,-0.639,-0.0245,0.0211,2107212072.7,10.1,0.993
M30,meanrev_fast,-4.041,-3.792,-4.612,0.0422,0.2584,611.6,146.0,0.993
M30,meanrev_slow,-0.915,-1.204,-0.354,0.0239,0.0719,300.4,39.3,0.993
M30,accel,-2.413,-2.228,-2.793,0.0167,0.1501,900.9,84.0,0.993
M30,relmom_5d,-2.444,-2.178,-2.986,-0.0328,0.0938,9379289935.9,51.1,0.993
M30,relmom_21d,-1.309,-0.983,-1.961,-0.0257,0.0432,4316240273.1,22.3,0.984
M30,skew,0.188,-0.022,0.583,0.0148,0.0057,38.4,1.8,0.976
M30,relvol,-0.206,-0.191,-0.238,0.0124,0.0201,161.6,10.3,0.976
