h_NY,EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF,NZDUSD,MEAN_G7
17,-0.7252,-0.6456,1.4243,-4.293,-1.9616,2.1026,-1.6237,-0.817457142857143
18,0.6175,-0.2256,0.3247,0.5118,-0.1855,0.4057,-1.0806,0.05257142857142859
19,0.1086,-0.0768,0.3691,-0.533,-0.0585,0.1884,-0.4667,-0.06698571428571429
20,0.1238,-0.143,0.2254,-0.0803,-0.0812,-0.0325,0.2143,0.032357142857142855
21,0.0362,0.1197,-0.0959,0.4375,0.0853,0.0278,0.4555,0.15230000000000002
22,0.1338,-0.0933,0.0047,0.2868,-0.0163,0.0735,0.0266,0.05940000000000001
23,0.0443,-0.1116,-0.0465,-0.0619,-0.0323,0.087,-0.0387,-0.022814285714285714
0,-0.1411,0.0306,-0.1709,-0.0352,0.1141,-0.2255,-0.0647,-0.07038571428571429
1,0.0331,0.187,-0.2335,0.5536,0.1168,0.0196,0.1001,0.11095714285714285
2,-0.371,-0.305,-0.1871,0.1145,-0.1791,0.1114,0.183,-0.09047142857142856
3,0.7245,-0.1476,-0.0927,0.1846,0.19,0.5376,0.112,0.21548571428571428
4,-0.2235,0.3502,-0.0648,-0.6356,-0.1871,0.0352,-0.3045,-0.14715714285714285
5,-0.0921,0.2428,-0.5013,-0.3504,-0.3917,-0.479,-0.4056,-0.28247142857142854
6,-0.3735,-0.6637,-0.0382,-0.4738,-0.0952,-0.3482,-0.4117,-0.3434714285714286
7,-1.0192,-0.3088,-0.2469,-0.1988,-0.5448,-0.233,-0.226,-0.39678571428571435
8,0.883,0.4278,0.3275,0.3601,-0.0181,0.6718,0.4979,0.45
9,0.2066,0.0005,0.0492,0.3102,0.3896,0.5584,0.507,0.2887857142857143
10,-0.2296,0.268,-0.2303,0.5806,0.2563,0.135,-0.0741,0.10084285714285714
11,-0.3145,0.1887,-0.5212,-1.0041,0.3473,-0.3465,-0.7111,-0.33734285714285717
12,-0.2942,-0.3815,-0.2734,-0.0486,-0.093,-0.5996,-0.361,-0.2930428571428572
13,0.0859,0.0121,-0.5317,0.1077,-0.0832,-0.1108,0.1408,-0.05417142857142855
14,0.3479,0.1309,0.2043,0.3898,0.263,0.3856,0.3479,0.2956285714285714
15,0.0748,0.3399,-0.7165,0.0957,-0.271,0.0708,0.3696,-0.00524285714285716
16,0.2976,0.4474,-0.3076,0.0177,0.1908,0.521,-0.0848,0.1545857142857143
