symbol,window,usd_side,n_days,mean_bps,t,hit_rate,cost_bps,net_bps,ann_gross_pct,ann_net_pct,drift_cost_ratio
EURUSD,TOKYO_pre,1,1670,-0.4072,-1.22,0.4802,0.9081,-1.3153,-1.03,-3.31,-0.45
EURUSD,TOKYO_post,-1,1695,0.1106,0.35,0.4932,0.9081,-0.7975,0.28,-2.01,0.12
EURUSD,ECB_pre,1,1698,0.4666,0.61,0.5059,0.9081,-0.4415,1.18,-1.11,0.51
EURUSD,ECB_post,-1,1698,0.0711,0.1,0.4923,0.9081,-0.837,0.18,-2.11,0.08
EURUSD,LONDON_pre,1,1698,0.4899,0.53,0.5047,0.9081,-0.4183,1.23,-1.05,0.54
EURUSD,LONDON_post,-1,1698,0.0944,0.18,0.5065,0.9081,-0.8137,0.24,-2.05,0.1
EURUSD,BR_europe,1,1698,0.0978,0.14,0.5135,0.9081,-0.8104,0.25,-2.04,0.11
EURUSD,BR_us,-1,1698,-0.1913,-0.4,0.4947,0.9081,-1.0994,-0.48,-2.77,-0.21
GBPUSD,TOKYO_pre,1,1680,0.506,1.21,0.5137,1.1976,-0.6916,1.28,-1.74,0.42
GBPUSD,TOKYO_post,-1,1694,0.1342,0.37,0.4911,1.1976,-1.0634,0.34,-2.68,0.11
GBPUSD,ECB_pre,1,1697,0.3979,0.44,0.4932,1.1976,-0.7998,1.0,-2.02,0.33
GBPUSD,ECB_post,-1,1692,0.8571,1.01,0.5118,1.1976,-0.3405,2.16,-0.86,0.72
GBPUSD,LONDON_pre,1,1698,0.1311,0.12,0.4894,1.1976,-1.0666,0.33,-2.69,0.11
GBPUSD,LONDON_post,-1,1690,0.5903,0.94,0.526,1.1976,-0.6073,1.49,-1.53,0.49
GBPUSD,BR_europe,1,1696,0.0956,0.11,0.4994,1.1976,-1.102,0.24,-2.78,0.08
GBPUSD,BR_us,-1,1689,-0.0519,-0.09,0.5062,1.1976,-1.2495,-0.13,-3.15,-0.04
USDJPY,TOKYO_pre,1,1677,-1.0281,-1.99,0.5021,1.0688,-2.097,-2.59,-5.28,-0.96
