tf,pair,ALL,FORM,OOS,adf_med,n,beta_med,gross/l,phi/l,net/l,%tt,hold
M30,GBPUSD~EURUSD,-0.184,-0.351,0.215,0.265,131,0.998,0.24,1.31,-1.08,0.062,29.8
M30,USDJPY~EURUSD,0.025,-0.152,0.355,0.2637,157,-0.722,1.46,1.28,0.18,0.088,35.3
M30,AUDUSD~EURUSD,0.568,0.875,-0.054,0.3312,144,0.802,5.91,2.15,3.76,0.082,35.4
M30,USDCAD~EURUSD,-0.322,-0.171,-0.6,0.2116,226,-0.541,0.1,1.57,-1.47,0.107,29.5
M30,USDCHF~EURUSD,-0.434,-0.609,-0.061,0.3134,235,-1.237,0.24,1.6,-1.36,0.117,31.3
M30,NZDUSD~EURUSD,-0.313,-0.185,-0.752,0.3568,112,1.139,-0.26,2.21,-2.46,0.068,38.1
M30,USDJPY~GBPUSD,0.191,-0.213,0.887,0.3219,117,-1.356,2.79,1.38,1.41,0.056,29.9
M30,AUDUSD~GBPUSD,-0.12,-0.097,-0.168,0.246,188,0.883,1.5,2.19,-0.69,0.1,33.1
M30,USDCAD~GBPUSD,-0.01,0.122,-0.264,0.3547,138,-0.17,1.71,1.79,-0.07,0.084,38.1
M30,USDCHF~GBPUSD,-0.539,-0.837,0.016,0.4264,95,-0.801,-3.14,1.79,-4.93,0.053,35.1
M30,NZDUSD~GBPUSD,0.055,0.331,-0.695,0.2059,248,1.127,2.64,2.32,0.32,0.143,36.2
M30,AUDUSD~USDJPY,0.442,0.284,0.741,0.403,183,-0.344,6.08,2.3,3.79,0.094,32.1
M30,USDCAD~USDJPY,-0.126,-0.475,0.407,0.393,190,0.195,0.81,1.77,-0.96,0.113,37.1
M30,USDCHF~USDJPY,-0.435,-0.476,-0.366,0.3717,200,0.739,-0.87,1.77,-2.63,0.114,35.7
M30,NZDUSD~USDJPY,-0.156,-0.119,-0.203,0.419,73,-0.786,0.26,2.64,-2.39,0.058,49.8
M30,USDCAD~AUDUSD,-0.087,-0.141,0.004,0.2318,247,-0.495,1.88,2.2,-0.32,0.139,35.4
M30,USDCHF~AUDUSD,0.073,-0.145,0.546,0.3538,136,-0.481,2.87,2.33,0.55,0.076,35.1
M30,NZDUSD~AUDUSD,-0.798,-0.599,-1.227,0.4076,81,1.094,-2.73,3.07,-5.8,0.055,42.1
M30,USDCHF~USDCAD,-0.306,-0.287,-0.337,0.3348,185,1.0,0.11,1.93,-1.82,0.096,32.6
M30,NZDUSD~USDCAD,-0.046,0.081,-0.206,0.4205,136,-1.184,2.14,2.45,-0.31,0.084,38.5
M30,NZDUSD~USDCHF,-0.284,-0.648,0.395,0.3179,101,-0.997,-0.04,2.69,-2.73,0.071,44.0
H1,GBPUSD~EURUSD,-0.289,-0.332,-0.205,0.2788,102,1.0,-0.43,1.6,-2.03,0.115,32.7
H1,USDJPY~EURUSD,0.23,0.267,0.172,0.2911,22,-0.679,7.59,1.7,5.89,0.033,43.6
H1,AUDUSD~EURUSD,0.106,0.331,-0.434,0.3241,77,1.0,4.12,2.38,1.74,0.087,33.0
H1,USDCAD~EURUSD,-0.426,-0.458,-0.41,0.4349,47,-0.963,-4.35,1.95,-6.3,0.065,40.4
H1,USDCHF~EURUSD,-0.062,-0.179,0.278,0.2564,154,-0.848,1.44,1.72,-0.28,0.12,22.6
H1,NZDUSD~EURUSD,0.058,-0.27,0.467,0.4449,41,1.759,3.67,2.47,1.19,0.046,33.0
H1,USDJPY~GBPUSD,0.105,0.134,,0.4154,33,-1.026,2.96,1.26,1.7,0.009,7.6
H1,AUDUSD~GBPUSD,-0.218,-0.261,-0.121,0.3926,61,0.831,-2.18,2.51,-4.68,0.074,35.1
H1,USDCAD~GBPUSD,0.175,0.223,,0.3438,32,-0.493,5.92,2.1,3.82,0.045,40.9
H1,USDCHF~GBPUSD,-0.147,-0.242,0.169,0.2467,70,-0.731,0.34,2.21,-1.86,0.103,42.9
H1,NZDUSD~GBPUSD,-0.099,-0.052,-0.159,0.3045,83,1.183,1.39,2.51,-1.12,0.086,30.0
H1,AUDUSD~USDJPY,0.047,-0.045,0.192,0.3053,77,-0.101,3.72,2.65,1.07,0.094,35.5
H1,USDCAD~USDJPY,0.051,0.778,-0.641,0.2966,38,0.908,3.41,2.32,1.08,0.069,53.1
H1,USDCHF~USDJPY,-0.344,-0.651,0.194,0.2082,31,0.461,-9.08,2.67,-11.75,0.074,69.3
H1,NZDUSD~USDJPY,0.393,0.153,0.726,0.2851,40,-0.68,14.96,3.04,11.93,0.063,45.5
H1,USDCAD~AUDUSD,0.045,0.538,-0.595,0.3369,103,-0.453,2.86,2.48,0.38,0.115,32.3
H1,USDCHF~AUDUSD,0.203,-0.133,0.71,0.2326,72,-0.765,5.18,2.55,2.63,0.082,33.1
H1,NZDUSD~AUDUSD,0.108,,0.174,0.534,7,1.0,5.52,3.69,1.83,0.014,58.9
H1,USDCHF~USDCAD,-0.114,-0.003,-0.325,0.1689,73,0.799,0.88,2.45,-1.56,0.118,46.7
H1,NZDUSD~USDCAD,0.233,0.706,-0.179,0.2053,140,-1.738,4.03,2.58,1.45,0.136,28.4
H1,NZDUSD~USDCHF,0.391,-0.215,1.023,0.415,78,-0.794,7.53,2.74,4.79,0.071,26.2
H4,GBPUSD~EURUSD,-0.071,-0.082,-0.048,0.1324,36,0.944,1.58,3.34,-1.75,0.125,34.0
H4,USDJPY~EURUSD,-0.103,-0.126,-0.056,0.625,32,-0.779,-0.45,2.95,-3.4,0.096,29.4
H4,AUDUSD~EURUSD,-0.359,,-0.576,0.4311,36,1.0,-8.45,3.39,-11.84,0.087,23.8
H4,USDCAD~EURUSD,-0.223,-0.285,,0.1618,7,-0.013,-29.08,7.25,-36.33,0.062,86.6
H4,USDCHF~EURUSD,-0.313,-0.345,-0.256,0.2892,38,-0.25,-3.3,3.01,-6.31,0.097,24.9
H4,NZDUSD~EURUSD,-0.194,-0.248,,0.2262,13,0.616,-6.9,3.55,-10.45,0.028,20.8
H4,USDJPY~GBPUSD,0.173,0.124,0.476,0.3594,39,-0.93,8.44,2.54,5.9,0.083,20.9
H4,AUDUSD~GBPUSD,-0.484,-0.548,-0.602,0.3983,41,1.262,-9.83,3.72,-13.55,0.112,26.6
H4,USDCAD~GBPUSD,-0.092,-0.122,-0.004,0.1764,44,-0.11,1.32,3.89,-2.57,0.165,36.2
H4,USDCHF~GBPUSD,-0.495,-0.567,-0.477,0.2202,39,-0.373,-7.86,2.91,-10.77,0.086,21.6
