tf,sym,rule,ALL,FORM,OOS,n,gross/l,phi/l,net/l,hold,%tt
H1,EURUSD,hlhb,-0.217,-0.169,-0.306,516,-0.39,1.92,-2.3,61.0,0.86
H1,EURUSD,triple_st,-0.952,-0.962,-0.949,2171,-0.93,1.08,-2.01,9.6,0.57
H1,EURUSD,bandtastic,-0.088,-0.274,0.255,91,0.13,1.2,-1.06,17.4,0.04
H1,EURUSD,trendrider,-0.154,-0.097,-0.264,690,0.44,1.4,-0.96,29.6,0.56
H1,GBPUSD,hlhb,-0.058,-0.187,0.234,563,1.46,2.13,-0.67,56.3,0.86
H1,GBPUSD,triple_st,-0.34,-0.188,-0.738,2150,0.48,1.38,-0.89,9.8,0.57
H1,GBPUSD,bandtastic,0.377,0.462,0.181,109,6.54,1.48,5.06,16.8,0.05
H1,GBPUSD,trendrider,-0.527,-0.417,-0.783,731,-2.1,1.67,-3.77,28.7,0.57
H1,USDJPY,hlhb,-0.685,-0.568,-0.856,480,-7.72,2.16,-9.88,65.9,0.87
H1,USDJPY,triple_st,0.079,0.084,0.069,2086,1.46,1.25,0.21,9.7,0.55
H1,USDJPY,bandtastic,-0.46,-0.449,-0.514,77,-7.27,1.4,-8.67,19.9,0.04
H1,USDJPY,trendrider,-0.792,-0.351,-1.465,603,-4.98,1.58,-6.56,30.7,0.51
H1,AUDUSD,hlhb,0.317,0.247,0.457,487,8.68,3.57,5.11,62.1,0.84
H1,AUDUSD,triple_st,-0.834,-0.594,-1.366,2158,0.19,2.72,-2.53,9.3,0.56
H1,AUDUSD,bandtastic,0.014,0.068,-0.087,68,3.11,2.81,0.3,16.5,0.03
H1,AUDUSD,trendrider,-0.653,-0.405,-1.165,685,-3.21,3.05,-6.26,31.0,0.59
H1,USDCAD,hlhb,-0.122,0.329,-1.188,478,1.41,2.71,-1.3,67.7,0.89
H1,USDCAD,triple_st,-1.145,-0.815,-1.966,2168,-0.4,1.78,-2.18,9.8,0.58
H1,USDCAD,bandtastic,-0.106,-0.014,-0.299,78,0.39,1.9,-1.51,18.7,0.04
H1,USDCAD,trendrider,-0.527,-0.479,-0.656,698,-0.91,2.07,-2.98,29.2,0.56
H1,USDCHF,hlhb,0.002,-0.042,0.066,472,2.77,2.74,0.02,61.5,0.86
H1,USDCHF,triple_st,-0.786,-0.784,-0.789,1988,-0.02,1.91,-1.93,9.8,0.58
H1,USDCHF,bandtastic,0.057,0.074,0.028,91,2.88,2.02,0.86,17.7,0.05
H1,USDCHF,trendrider,-0.472,0.205,-1.598,631,-1.16,2.21,-3.37,29.3,0.55
H1,NZDUSD,hlhb,-0.146,0.074,-0.56,492,1.57,3.95,-2.38,62.8,0.87
H1,NZDUSD,triple_st,-0.92,-0.954,-0.866,2128,0.4,3.1,-2.7,9.3,0.56
H1,NZDUSD,bandtastic,0.259,0.075,0.953,70,8.09,3.16,4.93,15.3,0.03
H1,NZDUSD,trendrider,-0.677,-0.628,-0.783,675,-3.14,3.41,-6.55,30.5,0.58
M30,EURUSD,hlhb,-1.006,-1.234,-0.588,1062,-3.88,1.42,-5.31,62.0,0.87
M30,EURUSD,triple_st,-1.701,-1.593,-1.929,4531,-0.72,1.0,-1.72,9.2,0.54
M30,EURUSD,bandtastic,-0.295,-0.296,-0.293,145,-0.93,1.05,-1.98,16.8,0.03
M30,EURUSD,trendrider,-0.34,-0.501,-0.049,1474,0.16,1.15,-0.99,29.6,0.57
