family,tf,ALL,FORM,OOS,ann%,vol%,maxDD%,gross,phi_gd,swap,turn/năm,%trong_tt
zscore_band,M30,0.294,-0.047,0.899,1.4,3.27,8.6,0.0226,0.0045,0.0023,26.9,0.968
donchian,M30,-2.749,-2.561,-3.084,-18.08,4.53,113.78,-0.1465,0.0406,0.002,234.9,0.998
cross_carry,M30,0.108,0.134,0.064,0.71,4.54,13.49,-0.003,0.0002,0.0014,0.8,0.984
xs_reversal,M30,-0.817,-0.928,-0.636,-4.02,3.39,27.28,-0.0428,0.0001,-0.0009,0.3,0.968
xs_momentum,M30,0.857,0.847,0.876,4.21,3.39,5.67,0.0428,0.0001,-0.0009,0.3,0.968
tsmom,M30,0.732,0.554,1.056,2.65,2.49,3.23,0.028,0.0,0.0014,0.2,0.936
zscore_band,H1,-0.241,-0.15,-0.439,-0.91,2.61,8.02,-0.012,0.0023,0.0054,6.1,0.931
donchian,H1,-2.808,-2.672,-3.026,-20.08,4.93,126.22,-0.3656,0.0804,0.0039,232.4,0.998
cross_carry,H1,0.109,0.114,0.1,0.71,4.49,13.11,-0.0081,0.0003,0.0027,0.9,0.983
xs_reversal,H1,-0.822,-0.919,-0.665,-4.06,3.41,27.59,-0.0925,0.0001,-0.002,0.3,0.965
xs_momentum,H1,0.86,0.847,0.885,4.25,3.41,5.69,0.0925,0.0001,-0.002,0.3,0.965
tsmom,H1,0.743,0.578,1.044,2.7,2.5,3.22,0.0609,0.0,0.0026,0.2,0.931
zscore_band,H4,0.034,0.044,,0.04,0.79,1.59,0.0052,0.0006,0.0022,0.1,0.029
donchian,H4,-2.515,-2.884,-2.077,-16.26,4.46,103.53,-0.8968,0.153,0.0166,133.3,0.998
cross_carry,H4,0.117,0.135,0.087,0.77,4.55,12.75,-0.0051,0.0009,0.0122,0.6,0.987
xs_reversal,H4,-0.819,-0.94,-0.619,-4.02,3.39,27.34,-0.258,0.0005,-0.0055,0.3,0.974
xs_momentum,H4,0.856,0.822,0.917,4.2,3.39,5.66,0.258,0.0005,-0.0055,0.3,0.974
tsmom,H4,0.707,0.504,1.082,2.58,2.51,3.23,0.1785,0.0001,0.0127,0.2,0.948
zscore_band,D1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
donchian,D1,-1.261,-1.07,-1.536,-7.37,4.03,46.83,-2.6338,0.1571,0.0953,22.8,0.987
cross_carry,D1,0.164,0.192,0.117,1.08,4.55,11.56,0.0895,0.0059,0.072,0.7,0.987
xs_reversal,D1,-0.82,-0.94,-0.623,-4.03,3.39,27.54,-1.521,0.0041,-0.0329,0.4,0.974
xs_momentum,D1,0.856,0.818,0.924,4.21,3.39,5.71,1.521,0.0041,-0.0329,0.4,0.974
tsmom,D1,0.707,0.506,1.076,2.59,2.52,3.26,1.0657,0.0007,0.0759,0.2,0.949
