tf,form,ALL,FORM,OOS,gross,phi,turn/nam,%tt
M30,band_s2.0,0.035,-0.185,0.438,0.0165,0.0141,13.9,0.711
M30,band_s2.5,0.072,0.039,0.129,0.0156,0.0109,9.9,0.625
M30,xs_z5d,0.122,0.269,-0.148,0.0324,0.025,24.9,0.996
M30,xs_z20d,0.216,-0.027,0.661,0.0209,0.0072,5.4,0.985
H1,band_s2.0,0.755,0.524,1.224,0.1222,0.0106,6.6,0.65
H1,band_s2.5,0.382,0.451,0.248,0.0598,0.007,4.3,0.54
H1,xs_z5d,0.28,0.293,0.259,0.087,0.0504,25.2,0.996
H1,xs_z20d,0.146,-0.093,0.583,0.0346,0.0146,5.5,0.983
H4,band_s2.0,-0.151,-0.297,0.036,-0.0398,0.0243,1.7,0.665
H4,band_s2.5,0.05,-0.19,0.365,0.0299,0.0096,1.1,0.542
H4,xs_z5d,0.308,0.32,0.287,0.3224,0.2034,25.3,0.997
H4,xs_z20d,0.029,-0.198,0.461,0.0722,0.0605,5.4,0.988
D1,band_s2.0,0.194,-0.101,0.484,0.413,0.058,0.7,0.495
D1,band_s2.5,-0.121,-0.12,-0.127,-0.1069,0.1186,0.5,0.473
D1,xs_z5d,-0.13,-0.182,-0.038,0.6627,0.9681,19.3,0.994
D1,xs_z20d,-0.177,-0.492,0.436,-0.0611,0.3677,5.4,0.988
