h_FFT,EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF,NZDUSD,MEAN
0,0.5431,0.2392,0.1202,1.2991,0.1006,0.143,-0.1492,0.32799999999999996
1,0.0179,-0.4053,0.2689,-1.0413,-0.1713,0.0164,-0.867,-0.3116714285714286
2,0.2323,0.0113,0.5744,0.0449,-0.0513,0.2355,0.3793,0.20377142857142858
3,0.0368,0.1937,-0.3001,0.698,0.1945,-0.0876,0.618,0.19332857142857143
4,0.0033,-0.2277,-0.1437,0.0414,-0.1369,0.0453,-0.1096,-0.07541428571428573
5,0.087,-0.1161,-0.1059,0.0255,-0.028,0.0287,-0.0386,-0.021057142857142858
6,-0.2174,-0.0028,-0.0157,-0.1284,0.0336,-0.1939,-0.1302,-0.09354285714285714
7,0.1107,0.2763,-0.2472,0.8189,0.2338,-0.0038,0.3382,0.21812857142857142
8,-0.5668,-0.5224,-0.3348,-0.2024,-0.2342,-0.0706,-0.1081,-0.29132857142857144
9,0.8926,-0.0616,0.0705,0.2562,0.1971,0.7522,0.2743,0.34018571428571437
10,-0.302,0.4239,-0.1724,-0.6966,-0.3019,-0.0335,-0.376,-0.20835714285714285
11,-0.0134,0.2451,-0.3465,-0.2736,-0.3021,-0.4837,-0.4466,-0.23154285714285713
12,-0.4517,-0.7719,-0.0738,-0.5924,-0.2459,-0.2867,-0.4303,-0.4075285714285714
13,-0.9823,-0.2818,-0.2718,-0.143,-0.4184,-0.2056,-0.0415,-0.3349142857142858
14,0.8132,0.357,0.0486,0.4485,0.0843,0.4296,0.4112,0.37034285714285714
15,0.3961,0.3535,0.3694,0.4794,0.1864,0.8099,0.6147,0.4584857142857143
16,-0.5332,-0.2695,-0.5306,-0.0854,0.2291,-0.2125,-0.5718,-0.28198571428571423
17,-0.0018,0.5093,-0.3716,-0.5283,0.5428,-0.0272,-0.3505,-0.03247142857142858
18,-0.3207,-0.3495,-0.163,-0.0387,-0.0334,-0.6108,-0.3871,-0.27188571428571423
19,0.1883,0.0946,-0.4913,0.2108,-0.05,0.0521,0.284,0.0412142857142857
20,0.217,0.0334,0.0752,0.3286,0.1712,0.298,0.1717,0.18501428571428571
21,0.0441,0.3556,-0.6012,-0.0792,-0.3407,-0.0031,0.3904,-0.03344285714285713
22,0.2813,0.4893,-0.3192,0.2943,0.1171,0.5659,0.0925,0.21731428571428574
23,-0.1376,-1.0973,1.7317,-5.3071,-1.3897,2.4931,-4.0605,-1.1096285714285714
