symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
EURUSD,h00_usd+_hivol,233,0.1549,0.23,0.3906,0.9081,-0.7532,0.17,-0.27,-0.44
EURUSD,h00_usd-_hivol,233,-0.1549,-0.23,0.4335,0.9081,-1.063,-0.17,-0.38,-0.63
EURUSD,h01_usd+_hivol,262,0.387,0.64,0.5076,0.9081,-0.5211,0.43,-0.21,-0.34
EURUSD,h01_usd-_hivol,262,-0.387,-0.64,0.4008,0.9081,-1.2952,-0.43,-0.52,-0.84
EURUSD,h02_usd+_hivol,295,0.3346,0.58,0.461,0.9081,-0.5735,0.37,-0.26,-0.39
EURUSD,h02_usd-_hivol,295,-0.3346,-0.58,0.4136,0.9081,-1.2427,-0.37,-0.56,-0.84
EURUSD,h03_usd+_hivol,291,-1.189,-2.45,0.4089,0.9081,-2.0971,-1.31,-0.93,-1.69
EURUSD,h03_usd-_hivol,291,1.189,2.45,0.4948,0.9081,0.2809,1.31,0.13,0.23
EURUSD,h04_usd+_hivol,290,-0.3355,-0.79,0.4448,0.9081,-1.2437,-0.37,-0.55,-1.14
EURUSD,h04_usd-_hivol,290,0.3355,0.79,0.4241,0.9081,-0.5726,0.37,-0.25,-0.53
EURUSD,h05_usd+_hivol,276,-0.7382,-1.87,0.3768,0.9081,-1.6463,-0.81,-0.69,-1.63
EURUSD,h05_usd-_hivol,276,0.7382,1.87,0.4964,0.9081,-0.1699,0.81,-0.07,-0.17
EURUSD,h06_usd+_hivol,273,0.3783,0.91,0.4689,0.9081,-0.5298,0.42,-0.22,-0.5
EURUSD,h06_usd-_hivol,273,-0.3783,-0.91,0.381,0.9081,-1.2864,-0.42,-0.54,-1.21
EURUSD,h07_usd+_hivol,287,-0.424,-0.83,0.4355,0.9081,-1.3322,-0.47,-0.58,-1.02
EURUSD,h07_usd-_hivol,287,0.424,0.83,0.4355,0.9081,-0.4841,0.47,-0.21,-0.37
EURUSD,h08_usd+_hivol,296,-0.1918,-0.23,0.4527,0.9081,-1.0999,-0.21,-0.5,-0.52
EURUSD,h08_usd-_hivol,296,0.1918,0.23,0.4966,0.9081,-0.7164,0.21,-0.32,-0.34
EURUSD,h09_usd+_hivol,295,-1.8511,-1.81,0.4441,0.9081,-2.7592,-2.04,-1.24,-1.05
EURUSD,h09_usd-_hivol,295,1.8511,1.81,0.5017,0.9081,0.9429,2.04,0.43,0.36
EURUSD,h10_usd+_hivol,294,0.1026,0.14,0.466,0.9081,-0.8056,0.11,-0.36,-0.42
EURUSD,h10_usd-_hivol,294,-0.1026,-0.14,0.4626,0.9081,-1.0107,-0.11,-0.45,-0.53
EURUSD,h11_usd+_hivol,296,1.159,1.57,0.4966,0.9081,0.2509,1.28,0.11,0.13
EURUSD,h11_usd-_hivol,296,-1.159,-1.57,0.4392,0.9081,-2.0671,-1.28,-0.94,-1.1
EURUSD,h12_usd+_hivol,296,0.8329,1.2,0.5203,0.9081,-0.0753,0.92,-0.03,-0.04
EURUSD,h12_usd-_hivol,296,-0.8329,-1.2,0.3919,0.9081,-1.741,-0.92,-0.79,-0.98
EURUSD,h13_usd+_hivol,294,1.7622,2.46,0.5306,0.9081,0.854,1.94,0.38,0.47
EURUSD,h13_usd-_hivol,294,-1.7622,-2.46,0.4048,0.9081,-2.6703,-1.94,-1.2,-1.46
EURUSD,h14_usd+_hivol,296,0.377,0.32,0.4628,0.9081,-0.5311,0.42,-0.24,-0.18
EURUSD,h14_usd-_hivol,296,-0.377,-0.32,0.4831,0.9081,-1.2852,-0.42,-0.58,-0.43
EURUSD,h15_usd+_hivol,296,0.8237,0.82,0.4831,0.9081,-0.0844,0.91,-0.04,-0.03
EURUSD,h15_usd-_hivol,296,-0.8237,-0.82,0.4459,0.9081,-1.7318,-0.91,-0.78,-0.67
EURUSD,h16_usd+_hivol,296,-0.0574,-0.06,0.4966,0.9081,-0.9655,-0.06,-0.44,-0.36
EURUSD,h16_usd-_hivol,296,0.0574,0.06,0.473,0.9081,-0.8507,0.06,-0.39,-0.32
EURUSD,h17_usd+_hivol,295,0.8485,1.09,0.4949,0.9081,-0.0596,0.93,-0.03,-0.03
EURUSD,h17_usd-_hivol,295,-0.8485,-1.09,0.4441,0.9081,-1.7566,-0.93,-0.79,-0.88
EURUSD,h18_usd+_hivol,296,1.0747,1.61,0.527,0.9081,0.1666,1.18,0.08,0.1
EURUSD,h18_usd-_hivol,296,-1.0747,-1.61,0.4054,0.9081,-1.9828,-1.18,-0.9,-1.16
EURUSD,h19_usd+_hivol,291,0.6794,1.03,0.4845,0.9081,-0.2287,0.75,-0.1,-0.14
EURUSD,h19_usd-_hivol,291,-0.6794,-1.03,0.4296,0.9081,-1.5875,-0.75,-0.71,-0.94
EURUSD,h20_usd+_hivol,293,-0.486,-0.75,0.4608,0.9081,-1.3942,-0.54,-0.62,-0.85
