symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
EURUSD,h00_usd+_me3,155,-0.1141,-0.18,0.4129,0.9081,-1.0222,-0.13,-0.24,-0.63
EURUSD,h00_usd-_me3,155,0.1141,0.18,0.4774,0.9081,-0.794,0.13,-0.19,-0.49
EURUSD,h01_usd+_me3,203,1.1702,2.09,0.4877,0.9081,0.2621,1.29,0.08,0.18
EURUSD,h01_usd-_me3,203,-1.1702,-2.09,0.3892,0.9081,-2.0783,-1.29,-0.65,-1.45
EURUSD,h02_usd+_me3,203,0.3805,0.74,0.468,0.9081,-0.5277,0.42,-0.16,-0.4
EURUSD,h02_usd-_me3,203,-0.3805,-0.74,0.4039,0.9081,-1.2886,-0.42,-0.4,-0.98
EURUSD,h03_usd+_me3,195,0.161,0.44,0.4256,0.9081,-0.7471,0.18,-0.22,-0.81
EURUSD,h03_usd-_me3,195,-0.161,-0.44,0.3744,0.9081,-1.0692,-0.18,-0.32,-1.15
EURUSD,h04_usd+_me3,183,0.3312,0.79,0.4153,0.9081,-0.5769,0.36,-0.16,-0.54
EURUSD,h04_usd-_me3,183,-0.3312,-0.79,0.3825,0.9081,-1.2393,-0.36,-0.35,-1.16
EURUSD,h05_usd+_me3,189,0.7059,1.78,0.4233,0.9081,-0.2023,0.78,-0.06,-0.2
EURUSD,h05_usd-_me3,189,-0.7059,-1.78,0.3704,0.9081,-1.614,-0.78,-0.47,-1.59
EURUSD,h06_usd+_me3,198,-0.0763,-0.16,0.4141,0.9081,-0.9844,-0.08,-0.3,-0.8
EURUSD,h06_usd-_me3,198,0.0763,0.16,0.4343,0.9081,-0.8318,0.08,-0.25,-0.68
EURUSD,h07_usd+_me3,207,0.5114,0.67,0.4444,0.9081,-0.3968,0.56,-0.13,-0.2
EURUSD,h07_usd-_me3,207,-0.5114,-0.67,0.4783,0.9081,-1.4195,-0.56,-0.45,-0.73
EURUSD,h08_usd+_me3,209,-1.6065,-1.86,0.4354,0.9081,-2.5147,-1.77,-0.8,-1.14
EURUSD,h08_usd-_me3,209,1.6065,1.86,0.5167,0.9081,0.6984,1.77,0.22,0.32
EURUSD,h09_usd+_me3,209,0.9999,1.28,0.4833,0.9081,0.0918,1.1,0.03,0.05
EURUSD,h09_usd-_me3,209,-0.9999,-1.28,0.4306,0.9081,-1.908,-1.1,-0.61,-0.95
EURUSD,h10_usd+_me3,209,-0.9312,-1.17,0.4306,0.9081,-1.8393,-1.03,-0.59,-0.91
EURUSD,h10_usd-_me3,209,0.9312,1.17,0.4737,0.9081,0.0231,1.03,0.01,0.01
EURUSD,h11_usd+_me3,209,0.3449,0.51,0.4498,0.9081,-0.5632,0.38,-0.18,-0.33
EURUSD,h11_usd-_me3,209,-0.3449,-0.51,0.4306,0.9081,-1.2531,-0.38,-0.4,-0.73
EURUSD,h12_usd+_me3,209,1.2169,1.6,0.512,0.9081,0.3087,1.34,0.1,0.16
EURUSD,h12_usd-_me3,209,-1.2169,-1.6,0.4163,0.9081,-2.125,-1.34,-0.68,-1.09
EURUSD,h13_usd+_me3,209,-0.4651,-0.37,0.4833,0.9081,-1.3733,-0.51,-0.44,-0.43
EURUSD,h13_usd-_me3,209,0.4651,0.37,0.4641,0.9081,-0.443,0.51,-0.14,-0.14
EURUSD,h14_usd+_me3,208,-1.6097,-1.77,0.4279,0.9081,-2.5178,-1.77,-0.8,-1.08
EURUSD,h14_usd-_me3,208,1.6097,1.77,0.5,0.9081,0.7016,1.77,0.22,0.3
EURUSD,h15_usd+_me3,208,-0.0821,-0.06,0.4327,0.9081,-0.9902,-0.09,-0.32,-0.28
EURUSD,h15_usd-_me3,208,0.0821,0.06,0.5337,0.9081,-0.826,0.09,-0.26,-0.23
EURUSD,h16_usd+_me3,208,-0.0246,-0.03,0.4808,0.9081,-0.9327,-0.03,-0.3,-0.47
EURUSD,h16_usd-_me3,208,0.0246,0.03,0.4423,0.9081,-0.8835,0.03,-0.28,-0.45
EURUSD,h17_usd+_me3,204,0.3622,0.56,0.4706,0.9081,-0.5459,0.4,-0.17,-0.33
EURUSD,h17_usd-_me3,204,-0.3622,-0.56,0.4608,0.9081,-1.2704,-0.4,-0.4,-0.77
EURUSD,h18_usd+_me3,202,-0.1955,-0.27,0.4356,0.9081,-1.1036,-0.22,-0.34,-0.59
EURUSD,h18_usd-_me3,202,0.1955,0.27,0.4307,0.9081,-0.7126,0.22,-0.22,-0.38
EURUSD,h19_usd+_me3,200,-1.2149,-1.94,0.39,0.9081,-2.123,-1.34,-0.65,-1.33
EURUSD,h19_usd-_me3,200,1.2149,1.94,0.475,0.9081,0.3068,1.34,0.09,0.19
EURUSD,h20_usd+_me3,196,0.267,0.55,0.4184,0.9081,-0.6411,0.29,-0.19,-0.51
EURUSD,h20_usd-_me3,196,-0.267,-0.55,0.4133,0.9081,-1.1752,-0.29,-0.35,-0.94
EURUSD,h21_usd+_me3,151,-0.07,-0.17,0.4106,0.9081,-0.9782,-0.08,-0.23,-0.92
EURUSD,h21_usd-_me3,151,0.07,0.17,0.4106,0.9081,-0.8381,0.08,-0.19,-0.79
EURUSD,h22_usd+_me3,41,2.6154,0.97,0.2683,0.9081,1.7073,2.88,0.11,0.25
EURUSD,h22_usd-_me3,41,-2.6154,-0.97,0.4878,0.9081,-3.5235,-2.88,-0.22,-0.51
EURUSD,h23_usd+_me3,105,-0.8464,-1.11,0.381,0.9081,-1.7545,-0.93,-0.28,-0.9
EURUSD,h23_usd-_me3,105,0.8464,1.11,0.5429,0.9081,-0.0617,0.93,-0.01,-0.03
EURUSD,h00_usd+_me1,50,-1.131,-1.06,0.42,0.9081,-2.0391,-1.25,-0.16,-0.75
EURUSD,h00_usd-_me1,50,1.131,1.06,0.54,0.9081,0.2229,1.25,0.02,0.08
EURUSD,h01_usd+_me1,67,1.6333,1.62,0.5373,0.9081,0.7252,1.8,0.07,0.28
EURUSD,h01_usd-_me1,67,-1.6333,-1.62,0.403,0.9081,-2.5414,-1.8,-0.26,-0.99
EURUSD,h02_usd+_me1,66,1.8852,2.0,0.5,0.9081,0.9771,2.08,0.1,0.41
EURUSD,h02_usd-_me1,66,-1.8852,-2.0,0.4091,0.9081,-2.7934,-2.08,-0.28,-1.16
EURUSD,h03_usd+_me1,62,-0.1379,-0.22,0.371,0.9081,-1.0461,-0.15,-0.1,-0.65
EURUSD,h03_usd-_me1,62,0.1379,0.22,0.371,0.9081,-0.7702,0.15,-0.07,-0.48
EURUSD,h04_usd+_me1,62,1.0647,1.84,0.5161,0.9081,0.1566,1.17,0.01,0.11
EURUSD,h04_usd-_me1,62,-1.0647,-1.84,0.2903,0.9081,-1.9728,-1.17,-0.19,-1.33
EURUSD,h05_usd+_me1,63,0.2275,0.33,0.3968,0.9081,-0.6807,0.25,-0.07,-0.39
EURUSD,h05_usd-_me1,63,-0.2275,-0.33,0.3651,0.9081,-1.1356,-0.25,-0.11,-0.65
EURUSD,h06_usd+_me1,64,-1.1798,-1.53,0.3438,0.9081,-2.088,-1.3,-0.2,-1.06
EURUSD,h06_usd-_me1,64,1.1798,1.53,0.4688,0.9081,0.2717,1.3,0.03,0.14
EURUSD,h07_usd+_me1,67,-2.023,-1.56,0.2985,0.9081,-2.9312,-2.23,-0.3,-0.88
EURUSD,h07_usd-_me1,67,2.023,1.56,0.6418,0.9081,1.1149,2.23,0.11,0.34
EURUSD,h08_usd+_me1,68,0.7979,0.52,0.5294,0.9081,-0.1102,0.88,-0.01,-0.03
EURUSD,h08_usd-_me1,68,-0.7979,-0.52,0.4118,0.9081,-1.706,-0.88,-0.18,-0.44
EURUSD,h09_usd+_me1,68,0.4514,0.32,0.4412,0.9081,-0.4568,0.5,-0.05,-0.13
EURUSD,h09_usd-_me1,68,-0.4514,-0.32,0.4706,0.9081,-1.3595,-0.5,-0.14,-0.38
EURUSD,h10_usd+_me1,68,1.1877,0.9,0.4853,0.9081,0.2796,1.31,0.03,0.08
EURUSD,h10_usd-_me1,68,-1.1877,-0.9,0.3824,0.9081,-2.0958,-1.31,-0.22,-0.62
EURUSD,h11_usd+_me1,68,2.5269,1.8,0.4412,0.9081,1.6187,2.78,0.17,0.45
EURUSD,h11_usd-_me1,68,-2.5269,-1.8,0.4559,0.9081,-3.435,-2.78,-0.36,-0.96
EURUSD,h12_usd+_me1,68,0.8989,0.65,0.5,0.9081,-0.0093,0.99,-0.0,-0.0
EURUSD,h12_usd-_me1,68,-0.8989,-0.65,0.4706,0.9081,-1.807,-0.99,-0.19,-0.51
EURUSD,h13_usd+_me1,68,-1.188,-0.76,0.4265,0.9081,-2.0961,-1.31,-0.22,-0.52
EURUSD,h13_usd-_me1,68,1.188,0.76,0.4706,0.9081,0.2798,1.31,0.03,0.07
EURUSD,h14_usd+_me1,68,0.5187,0.35,0.5147,0.9081,-0.3894,0.57,-0.04,-0.1
EURUSD,h14_usd-_me1,68,-0.5187,-0.35,0.4412,0.9081,-1.4268,-0.57,-0.15,-0.38
EURUSD,h15_usd+_me1,68,-0.2469,-0.07,0.4706,0.9081,-1.155,-0.27,-0.12,-0.14
EURUSD,h15_usd-_me1,68,0.2469,0.07,0.5147,0.9081,-0.6613,0.27,-0.07,-0.08
EURUSD,h16_usd+_me1,68,1.5871,1.11,0.6029,0.9081,0.679,1.75,0.07,0.19
EURUSD,h16_usd-_me1,68,-1.5871,-1.11,0.3235,0.9081,-2.4952,-1.75,-0.26,-0.68
EURUSD,h17_usd+_me1,67,0.1868,0.14,0.4627,0.9081,-0.7213,0.21,-0.07,-0.22
EURUSD,h17_usd-_me1,67,-0.1868,-0.14,0.4328,0.9081,-1.0949,-0.21,-0.11,-0.33
EURUSD,h18_usd+_me1,67,-0.7929,-0.52,0.3731,0.9081,-1.701,-0.87,-0.17,-0.44
EURUSD,h18_usd-_me1,67,0.7929,0.52,0.4627,0.9081,-0.1152,0.87,-0.01,-0.03
EURUSD,h19_usd+_me1,67,-1.3078,-1.21,0.403,0.9081,-2.2159,-1.44,-0.23,-0.8
EURUSD,h19_usd-_me1,67,1.3078,1.21,0.4328,0.9081,0.3997,1.44,0.04,0.14
EURUSD,h20_usd+_me1,66,0.8026,0.8,0.4848,0.9081,-0.1055,0.88,-0.01,-0.04
EURUSD,h20_usd-_me1,66,-0.8026,-0.8,0.3939,0.9081,-1.7107,-0.88,-0.17,-0.67
EURUSD,h21_usd+_me1,53,1.1896,2.14,0.5472,0.9081,0.2814,1.31,0.02,0.2
EURUSD,h21_usd-_me1,53,-1.1896,-2.14,0.283,0.9081,-2.0977,-1.31,-0.17,-1.48
EURUSD,h22_usd+_me1,9,,,,,,,,
EURUSD,h22_usd-_me1,9,,,,,,,,
EURUSD,h23_usd+_me1,31,-0.5547,-0.39,0.4516,0.9081,-1.4628,-0.61,-0.07,-0.4
EURUSD,h23_usd-_me1,31,0.5547,0.39,0.5161,0.9081,-0.3534,0.61,-0.02,-0.1
GBPUSD,h00_usd+_me3,164,-0.7916,-1.35,0.3232,1.1976,-1.9893,-0.66,-0.5,-1.33
GBPUSD,h00_usd-_me3,164,0.7916,1.35,0.5,1.1976,-0.406,0.66,-0.1,-0.27
GBPUSD,h01_usd+_me3,208,0.7701,1.3,0.4519,1.1976,-0.4275,0.64,-0.14,-0.28
GBPUSD,h01_usd-_me3,208,-0.7701,-1.3,0.4135,1.1976,-1.9677,-0.64,-0.63,-1.29
GBPUSD,h02_usd+_me3,210,-0.0012,-0.0,0.4429,1.1976,-1.1988,-0.0,-0.39,-0.81
GBPUSD,h02_usd-_me3,210,0.0012,0.0,0.3714,1.1976,-1.1965,0.0,-0.38,-0.81
GBPUSD,h03_usd+_me3,201,0.6436,1.35,0.4279,1.1976,-0.554,0.54,-0.17,-0.45
GBPUSD,h03_usd-_me3,201,-0.6436,-1.35,0.3831,1.1976,-1.8412,-0.54,-0.57,-1.51
GBPUSD,h04_usd+_me3,195,0.1743,0.37,0.3692,1.1976,-1.0233,0.15,-0.31,-0.86
GBPUSD,h04_usd-_me3,195,-0.1743,-0.37,0.3949,1.1976,-1.3719,-0.15,-0.41,-1.15
GBPUSD,h05_usd+_me3,194,-0.4146,-1.02,0.3763,1.1976,-1.6122,-0.35,-0.48,-1.55
GBPUSD,h05_usd-_me3,194,0.4146,1.02,0.4433,1.1976,-0.783,0.35,-0.23,-0.75
GBPUSD,h06_usd+_me3,203,-0.1813,-0.32,0.4138,1.1976,-1.3789,-0.15,-0.43,-0.95
GBPUSD,h06_usd-_me3,203,0.1813,0.32,0.4384,1.1976,-1.0163,0.15,-0.32,-0.7
GBPUSD,h07_usd+_me3,210,-0.0713,-0.09,0.4524,1.1976,-1.2689,-0.06,-0.41,-0.65
GBPUSD,h07_usd-_me3,210,0.0713,0.09,0.4667,1.1976,-1.1263,0.06,-0.36,-0.57
