h_FFT,EURUSD,GBPUSD,USDJPY,AUDUSD,USDCAD,USDCHF,NZDUSD
0,1.9805,0.8407,0.3284,2.6517,0.3459,0.3542,-0.2583
1,0.0786,-1.6777,0.8323,-2.678,-0.8411,0.059,-2.2291
2,1.1086,0.037,1.7042,0.1103,-0.2723,1.0661,0.9388
3,0.1973,0.9006,-0.9919,1.8319,1.0955,-0.4298,1.6826
4,0.0232,-1.4933,-0.5141,0.1351,-1.0377,0.2685,-0.3303
5,0.6364,-0.8029,-0.4193,0.0975,-0.2277,0.1585,-0.1459
6,-1.4826,-0.0175,-0.0564,-0.4223,0.2597,-1.0902,-0.4663
7,0.6506,1.2801,-1.035,2.3119,1.4572,-0.0204,1.0978
8,-2.1583,-1.548,-1.0279,-0.5492,-1.1826,-0.2492,-0.2998
9,2.7628,-0.1685,0.2109,0.6552,0.8416,1.9934,0.7025
10,-1.1285,1.264,-0.5385,-2.106,-1.5338,-0.1168,-1.1288
11,-0.0564,0.8469,-1.6191,-0.937,-1.6866,-1.8789,-1.5027
12,-1.969,-2.5722,-0.3035,-2.0521,-1.3451,-1.2024,-1.4562
13,-3.8258,-0.8021,-1.0276,-0.4206,-1.9508,-0.7653,-0.1242
14,1.9406,0.7976,0.0961,0.8384,0.2537,0.9716,0.7386
15,1.1574,0.9022,0.9907,1.0466,0.591,2.2555,1.352
16,-1.3312,-0.58,-1.3152,-0.1499,0.5951,-0.5043,-1.0828
17,-0.0065,1.4734,-1.1691,-1.378,1.9032,-0.0941,-0.9593
18,-1.47,-1.3587,-0.7166,-0.1301,-0.1625,-2.7356,-1.3599
19,0.8172,0.3827,-1.7936,0.5782,-0.2211,0.216,0.8357
20,0.889,0.121,0.2867,0.8724,0.7264,1.1508,0.4577
21,0.2475,1.7214,-2.8333,-0.2714,-1.7034,-0.0152,1.2296
22,1.6398,2.734,-1.1756,0.9438,0.5128,2.3386,0.2574
23,-0.2243,-1.9778,2.0789,-3.2972,-1.6786,2.5792,-2.9044
