symbol,rule,n_trades,gross_bps,t,hit_rate,cost_bps,net_bps,ratio,ann_net_pct,sharpe
EURUSD,h00_usd+,998,-0.5431,-1.98,0.3577,0.9081,-1.4513,-0.6,-2.22,-2.07
EURUSD,h00_usd-,998,0.5431,1.98,0.485,0.9081,-0.365,0.6,-0.56,-0.52
EURUSD,h01_usd+,1276,-0.0179,-0.08,0.4303,0.9081,-0.926,-0.02,-1.81,-1.59
EURUSD,h01_usd-,1276,0.0179,0.08,0.4318,0.9081,-0.8902,0.02,-1.74,-1.53
EURUSD,h02_usd+,1647,-0.2323,-1.11,0.422,0.9081,-1.1405,-0.26,-2.87,-2.13
EURUSD,h02_usd-,1647,0.2323,1.11,0.4511,0.9081,-0.6758,0.26,-1.7,-1.26
EURUSD,h03_usd+,1649,-0.0368,-0.2,0.4306,0.9081,-0.9449,-0.04,-2.38,-1.98
EURUSD,h03_usd-,1649,0.0368,0.2,0.4372,0.9081,-0.8713,0.04,-2.2,-1.83
EURUSD,h04_usd+,1585,-0.0033,-0.02,0.4158,0.9081,-0.9114,-0.0,-2.21,-2.49
EURUSD,h04_usd-,1585,0.0033,0.02,0.4013,0.9081,-0.9048,0.0,-2.19,-2.47
EURUSD,h05_usd+,1465,-0.087,-0.64,0.4034,0.9081,-0.9952,-0.1,-2.23,-2.85
EURUSD,h05_usd-,1465,0.087,0.64,0.4212,0.9081,-0.8211,0.1,-1.84,-2.35
EURUSD,h06_usd+,1446,0.2174,1.48,0.435,0.9081,-0.6907,0.24,-1.53,-1.84
EURUSD,h06_usd-,1446,-0.2174,-1.48,0.3942,0.9081,-1.1255,-0.24,-2.49,-3.0
EURUSD,h07_usd+,1600,-0.1107,-0.65,0.4269,0.9081,-1.0188,-0.12,-2.49,-2.34
EURUSD,h07_usd-,1600,0.1107,0.65,0.4319,0.9081,-0.7975,0.12,-1.95,-1.83
EURUSD,h08_usd+,1691,0.5668,2.16,0.482,0.9081,-0.3414,0.62,-0.88,-0.51
EURUSD,h08_usd-,1691,-0.5668,-2.16,0.4382,0.9081,-1.4749,-0.62,-3.81,-2.2
EURUSD,h09_usd+,1697,-0.8926,-2.76,0.4349,0.9081,-1.8008,-0.98,-4.67,-2.18
EURUSD,h09_usd-,1697,0.8926,2.76,0.5015,0.9081,-0.0155,0.98,-0.04,-0.02
EURUSD,h10_usd+,1693,0.302,1.13,0.4578,0.9081,-0.6062,0.33,-1.57,-0.89
EURUSD,h10_usd-,1693,-0.302,-1.13,0.453,0.9081,-1.2101,-0.33,-3.13,-1.77
EURUSD,h11_usd+,1694,0.0134,0.06,0.4475,0.9081,-0.8947,0.01,-2.32,-1.47
EURUSD,h11_usd-,1694,-0.0134,-0.06,0.4516,0.9081,-0.9216,-0.01,-2.39,-1.51
EURUSD,h12_usd+,1694,0.4517,1.97,0.4687,0.9081,-0.4564,0.5,-1.18,-0.78
EURUSD,h12_usd-,1694,-0.4517,-1.97,0.4298,0.9081,-1.3598,-0.5,-3.52,-2.32
EURUSD,h13_usd+,1694,0.9823,3.83,0.5213,0.9081,0.0742,1.08,0.19,0.11
EURUSD,h13_usd-,1694,-0.9823,-3.83,0.3961,0.9081,-1.8905,-1.08,-4.9,-2.88
EURUSD,h14_usd+,1696,-0.8132,-1.94,0.4487,0.9081,-1.7213,-0.9,-4.47,-1.61
EURUSD,h14_usd-,1696,0.8132,1.94,0.4935,0.9081,-0.0949,0.9,-0.25,-0.09
EURUSD,h15_usd+,1695,-0.3961,-1.16,0.446,0.9081,-1.3042,-0.44,-3.38,-1.49
EURUSD,h15_usd-,1695,0.3961,1.16,0.4791,0.9081,-0.5121,0.44,-1.33,-0.59
