tf,công cụ,N,k,thoát,ALL,FORM,OOS,n_lệnh,thắng%,gross/lệnh,phí/lệnh,net/lệnh,nến/lệnh
M30,EURGBP,24,1.5,time_only,-0.214,-0.159,-0.404,2198,51.8,0.45,0.87,-0.42,20.9
M30,EURGBP,24,1.5,time_only_2x,-0.099,-0.012,-0.338,1711,59.0,0.81,1.07,-0.27,33.3
M30,EURGBP,24,1.5,sl3atr_tp2R,-1.346,-1.183,-1.863,1970,56.2,-2.44,1.01,-3.45,29.3
M30,EURGBP,24,1.5,sl4atr_tp3R,-0.647,-0.566,-0.911,1814,58.5,-0.72,1.04,-1.76,31.5
M30,EURGBP,24,2.0,time_only,-0.593,-0.656,-0.488,1483,47.7,-0.51,0.9,-1.41,22.8
M30,EURGBP,24,2.0,time_only_2x,-0.484,-0.594,-0.236,1177,53.0,-0.51,1.19,-1.7,40.5
M30,EURGBP,24,2.0,sl3atr_tp2R,-1.454,-1.451,-1.565,1321,50.2,-3.92,1.11,-5.04,35.6
M30,EURGBP,24,2.0,sl4atr_tp3R,-0.945,-0.995,-0.905,1240,52.8,-2.31,1.16,-3.47,38.6
M30,EURGBP,24,2.5,time_only,-0.807,-0.737,-1.07,695,45.0,-1.95,0.92,-2.86,23.7
M30,EURGBP,24,2.5,time_only_2x,-0.291,-0.273,-0.348,600,49.5,-0.18,1.28,-1.46,45.7
M30,EURGBP,24,2.5,sl3atr_tp2R,-1.115,-1.043,-1.323,642,46.0,-4.46,1.18,-5.64,39.5
M30,EURGBP,24,2.5,sl4atr_tp3R,-0.652,-0.617,-0.77,619,49.1,-2.26,1.24,-3.5,43.7
M30,EURGBP,48,1.5,time_only,0.02,-0.231,0.682,1293,54.4,1.26,1.19,0.07,40.6
M30,EURGBP,48,1.5,time_only_2x,0.082,-0.094,0.545,988,61.5,1.9,1.52,0.39,60.0
M30,EURGBP,48,1.5,sl3atr_tp2R,-0.917,-0.974,-0.843,1255,57.4,-2.48,1.31,-3.8,47.9
M30,EURGBP,48,1.5,sl4atr_tp3R,-0.446,-0.553,-0.21,1132,61.0,-0.72,1.4,-2.11,53.0
M30,EURGBP,48,2.0,time_only,-0.169,-0.237,-0.003,929,50.3,0.55,1.26,-0.71,44.6
M30,EURGBP,48,2.0,time_only_2x,-0.086,0.066,-0.507,719,54.9,1.22,1.74,-0.53,73.9
M30,EURGBP,48,2.0,sl3atr_tp2R,-0.901,-0.56,-1.837,912,51.0,-3.43,1.49,-4.91,58.2
M30,EURGBP,48,2.0,sl4atr_tp3R,-0.482,-0.275,-1.099,806,55.0,-1.4,1.61,-3.0,65.5
M30,EURGBP,48,2.5,time_only,-0.119,-0.151,-0.047,540,48.0,0.62,1.3,-0.68,46.9
M30,EURGBP,48,2.5,time_only_2x,-0.154,-0.121,-0.26,460,52.4,0.72,1.94,-1.22,85.7
M30,EURGBP,48,2.5,sl3atr_tp2R,-0.744,-0.67,-1.022,522,48.3,-3.81,1.68,-5.49,70.2
M30,EURGBP,48,2.5,sl4atr_tp3R,-0.549,-0.473,-0.835,491,51.7,-2.63,1.81,-4.44,77.7
M30,EURGBP,96,1.5,time_only,0.157,0.165,0.154,709,57.3,2.84,1.82,1.02,78.5
M30,EURGBP,96,1.5,time_only_2x,0.176,0.287,-0.126,537,65.9,4.01,2.38,1.64,112.0
M30,EURGBP,96,1.5,sl3atr_tp2R,-0.719,-0.489,-1.405,807,54.3,-3.12,1.77,-4.9,75.6
M30,EURGBP,96,1.5,sl4atr_tp3R,-0.404,-0.243,-0.917,694,59.8,-1.22,1.99,-3.21,88.5
M30,EURGBP,96,2.0,time_only,0.503,0.645,0.174,543,55.8,5.89,1.93,3.95,85.2
M30,EURGBP,96,2.0,time_only_2x,0.306,0.526,-0.226,415,60.7,6.18,2.73,3.45,133.5
