họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
range_break,EURGBP,10,1.5,24,-0.557,-0.277,-1.445,2491,40.5,-1.15,-1.68,1/7
range_break,EURGBP,10,1.5,96,-0.694,-0.445,-1.552,2343,40.1,-1.51,-2.07,1/7
range_break,EURGBP,10,2.0,24,-0.115,0.089,-0.719,995,44.2,-0.48,-0.35,3/7
range_break,EURGBP,10,2.0,96,-0.208,-0.015,-0.806,746,39.7,-1.3,-0.65,2/7
range_break,EURGBP,10,2.5,24,-0.182,-0.177,-0.207,433,49.7,-1.18,-0.55,1/7
range_break,EURGBP,10,2.5,96,-0.02,0.235,-0.649,325,46.2,-0.26,-0.06,2/7
range_break,EURGBP,20,1.5,24,-0.657,-0.546,-1.023,2248,41.5,-1.46,-1.96,1/7
range_break,EURGBP,20,1.5,96,-0.633,-0.469,-1.158,2028,40.9,-1.56,-1.86,1/7
range_break,EURGBP,20,2.0,24,-0.294,-0.026,-1.029,951,44.6,-1.19,-0.91,2/7
range_break,EURGBP,20,2.0,96,-0.372,-0.086,-1.234,711,39.5,-2.63,-1.14,2/7
range_break,EURGBP,20,2.5,24,-0.358,-0.034,-1.262,447,44.7,-2.55,-1.11,2/7
range_break,EURGBP,20,2.5,96,-0.497,-0.415,-0.716,335,39.4,-6.36,-1.53,2/7
range_break,EURGBP,40,1.5,24,-0.855,-0.605,-1.615,2251,40.9,-1.82,-2.45,1/7
range_break,EURGBP,40,1.5,96,-0.735,-0.584,-1.261,2026,40.5,-1.81,-2.11,1/7
range_break,EURGBP,40,2.0,24,-0.369,-0.278,-0.694,1001,43.2,-1.53,-1.15,1/7
range_break,EURGBP,40,2.0,96,-0.431,-0.364,-0.699,784,38.6,-2.75,-1.32,1/7
range_break,EURGBP,40,2.5,24,-0.581,-0.459,-0.956,500,44.8,-3.57,-1.84,2/7
range_break,EURGBP,40,2.5,96,-0.407,-0.297,-0.719,392,36.7,-4.58,-1.26,2/7
range_break,EURGBP,80,1.5,24,-0.63,-0.279,-1.644,2257,41.7,-1.26,-1.77,2/7
range_break,EURGBP,80,1.5,96,-0.543,-0.232,-1.483,2046,41.1,-1.24,-1.51,1/7
range_break,EURGBP,80,2.0,24,-0.577,-0.529,-0.77,1035,43.0,-2.15,-1.66,1/7
range_break,EURGBP,80,2.0,96,-0.614,-0.516,-0.968,830,38.3,-3.41,-1.76,1/7
range_break,EURGBP,80,2.5,24,-0.408,-0.263,-0.87,539,46.0,-2.55,-1.34,1/7
range_break,EURGBP,80,2.5,96,-0.392,-0.334,-0.633,429,37.8,-4.36,-1.26,1/7
range_break,EURAUD,10,1.5,24,-0.018,0.364,-0.892,1998,43.1,-0.06,-0.06,3/7
range_break,EURAUD,10,1.5,96,-0.081,0.194,-0.693,1776,42.0,-0.31,-0.24,3/7
range_break,EURAUD,10,2.0,24,0.029,0.356,-0.608,777,48.1,0.19,0.09,4/7
range_break,EURAUD,10,2.0,96,-0.112,0.202,-0.68,548,45.6,-1.33,-0.34,3/7
range_break,EURAUD,10,2.5,24,-0.311,0.106,-1.217,337,46.3,-3.13,-0.95,2/7
range_break,EURAUD,10,2.5,96,-0.774,-0.494,-1.232,264,43.6,-13.86,-2.41,2/7
range_break,EURAUD,20,1.5,24,-0.229,-0.123,-0.476,2004,42.5,-0.76,-0.69,1/7
range_break,EURAUD,20,1.5,96,-0.33,-0.167,-0.707,1765,41.0,-1.29,-0.97,1/7
range_break,EURAUD,20,2.0,24,-0.012,0.643,-1.472,915,45.2,-0.07,-0.04,3/7
range_break,EURAUD,20,2.0,96,-0.256,0.144,-0.953,651,43.9,-2.64,-0.78,2/7
range_break,EURAUD,20,2.5,24,-0.426,-0.234,-0.857,410,42.4,-4.16,-1.3,1/7
range_break,EURAUD,20,2.5,96,-0.472,-0.611,-0.228,318,42.8,-8.63,-1.46,2/7
range_break,EURAUD,40,1.5,24,-0.249,0.166,-1.129,2076,43.4,-0.76,-0.74,3/7
range_break,EURAUD,40,1.5,96,-0.34,0.068,-1.211,1841,41.7,-1.21,-0.99,3/7
range_break,EURAUD,40,2.0,24,-0.105,0.498,-1.333,929,45.3,-0.65,-0.33,3/7
range_break,EURAUD,40,2.0,96,-0.121,0.54,-1.467,704,41.3,-1.15,-0.36,3/7
range_break,EURAUD,40,2.5,24,-0.507,-0.482,-0.587,435,44.1,-4.74,-1.55,1/7
range_break,EURAUD,40,2.5,96,-0.45,-0.597,-0.19,340,43.8,-7.82,-1.38,2/7
range_break,EURAUD,80,1.5,24,-0.216,0.093,-0.828,2101,43.6,-0.62,-0.62,3/7
range_break,EURAUD,80,1.5,96,-0.321,-0.048,-0.886,1867,41.8,-1.1,-0.92,3/7
range_break,EURAUD,80,2.0,24,-0.181,0.498,-1.532,944,44.2,-1.03,-0.56,3/7
range_break,EURAUD,80,2.0,96,-0.159,0.501,-1.52,722,41.1,-1.52,-0.5,3/7
range_break,EURAUD,80,2.5,24,-0.668,-0.457,-1.256,456,43.0,-6.13,-2.01,1/7
range_break,EURAUD,80,2.5,96,-0.537,-0.455,-0.724,363,41.6,-8.59,-1.62,1/7
range_break,EURNZD,10,1.5,24,-0.421,-0.049,-1.263,2018,41.6,-1.29,-1.27,1/7
