công cụ,biên,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+,nến/lệnh
AUDNZD,7.649,24,1.5,1.0,0.01,-0.308,0.656,1145,64.4,0.02,0.03,4/7,13.0
AUDNZD,7.649,24,1.5,2.0,0.081,-0.241,0.736,1025,64.8,0.23,0.25,3/7,16.0
AUDNZD,7.649,24,1.5,3.0,0.094,-0.204,0.707,1011,64.8,0.27,0.29,4/7,16.0
AUDNZD,7.649,24,2.0,1.0,-0.334,-0.763,0.495,634,59.1,-1.18,-1.03,3/7,15.0
AUDNZD,7.649,24,2.0,2.0,-0.164,-0.604,0.674,597,60.0,-0.62,-0.51,3/7,18.0
AUDNZD,7.649,24,2.0,3.0,-0.165,-0.595,0.635,592,60.0,-0.62,-0.51,3/7,18.0
AUDNZD,7.649,24,2.5,1.0,0.15,-0.244,0.964,208,57.7,0.88,0.46,4/7,16.0
AUDNZD,7.649,24,2.5,2.0,0.325,0.002,0.88,204,59.3,1.95,1.0,5/7,20.0
AUDNZD,7.649,24,2.5,3.0,0.342,0.053,0.812,204,59.3,2.03,1.05,5/7,20.0
AUDNZD,7.649,24,3.0,1.0,-0.211,-0.977,0.75,46,50.0,-2.47,-0.63,4/7,19.0
AUDNZD,7.649,24,3.0,2.0,-0.1,-0.812,0.458,46,54.3,-1.26,-0.3,4/7,22.0
AUDNZD,7.649,24,3.0,3.0,-0.094,-0.812,0.482,46,54.3,-1.17,-0.28,5/7,22.0
AUDNZD,7.649,48,1.5,1.0,-0.183,-0.528,0.453,678,63.1,-0.84,-0.57,4/7,26.0
AUDNZD,7.649,48,1.5,2.0,-0.181,-0.406,0.225,609,64.0,-0.91,-0.55,3/7,30.0
AUDNZD,7.649,48,1.5,3.0,-0.169,-0.415,0.298,602,64.0,-0.88,-0.52,3/7,31.0
AUDNZD,7.649,48,2.0,1.0,-0.337,-0.375,-0.266,455,61.5,-1.93,-1.04,2/7,29.0
AUDNZD,7.649,48,2.0,2.0,-0.376,-0.357,-0.417,419,62.1,-2.42,-1.16,2/7,34.0
AUDNZD,7.649,48,2.0,3.0,-0.381,-0.386,-0.381,416,62.3,-2.65,-1.18,2/7,35.0
AUDNZD,7.649,48,2.5,1.0,-0.146,-0.128,-0.183,247,59.5,-1.12,-0.45,4/7,31.0
AUDNZD,7.649,48,2.5,2.0,-0.294,-0.277,-0.34,237,61.6,-2.66,-0.9,3/7,37.0
AUDNZD,7.649,48,2.5,3.0,-0.342,-0.297,-0.452,234,61.5,-3.21,-1.05,2/7,38.0
AUDNZD,7.649,48,3.0,1.0,0.136,0.106,0.181,93,59.1,1.63,0.41,2/7,34.0
AUDNZD,7.649,48,3.0,2.0,0.031,0.06,-0.02,92,63.0,0.41,0.09,3/7,40.0
AUDNZD,7.649,48,3.0,3.0,0.036,0.046,0.017,92,63.0,0.48,0.11,3/7,41.0
AUDNZD,7.649,96,1.5,1.0,-0.343,-0.264,-0.494,371,63.3,-2.84,-1.06,2/7,51.0
AUDNZD,7.649,96,1.5,2.0,-0.341,-0.309,-0.402,330,63.0,-3.18,-1.04,2/7,58.0
AUDNZD,7.649,96,1.5,3.0,-0.35,-0.305,-0.427,325,62.8,-3.37,-1.08,2/7,59.0
AUDNZD,7.649,96,2.0,1.0,-0.203,-0.163,-0.278,275,62.9,-1.96,-0.63,2/7,55.0
AUDNZD,7.649,96,2.0,2.0,-0.29,-0.278,-0.315,247,62.3,-3.23,-0.88,2/7,65.0
AUDNZD,7.649,96,2.0,3.0,-0.319,-0.265,-0.407,244,61.9,-3.69,-0.98,2/7,66.0
AUDNZD,7.649,96,2.5,1.0,-0.021,0.069,-0.176,158,59.5,-0.27,-0.07,2/7,59.0
AUDNZD,7.649,96,2.5,2.0,-0.171,0.017,-0.481,149,59.1,-2.57,-0.52,2/7,69.0
AUDNZD,7.649,96,2.5,3.0,-0.176,0.045,-0.518,148,58.8,-2.68,-0.54,2/7,71.0
AUDNZD,7.649,96,3.0,1.0,0.11,0.164,0.021,74,60.8,2.31,0.34,3/7,64.0
AUDNZD,7.649,96,3.0,2.0,0.095,0.241,-0.136,72,59.7,2.12,0.29,4/7,76.0
AUDNZD,7.649,96,3.0,3.0,0.06,0.282,-0.237,71,59.2,1.43,0.18,4/7,77.0
AUDNZD,7.649,192,1.5,1.0,-0.458,-0.349,-0.639,204,62.3,-6.98,-1.4,1/7,98.0
AUDNZD,7.649,192,1.5,2.0,-0.495,-0.385,-0.663,178,60.7,-8.76,-1.52,0/7,114.0
AUDNZD,7.649,192,1.5,3.0,-0.487,-0.381,-0.659,178,60.7,-8.38,-1.48,0/7,114.0
AUDNZD,7.649,192,2.0,1.0,-0.132,0.073,-0.458,153,64.7,-2.38,-0.4,3/7,107.0
