cong cu,N,k,thoat,ALL,FORM,OOS,n,thang%,net,t
AUDNZD,12,1.5,time_only,-0.293,-0.211,-0.451,529,49.0,-1.71,-0.9
AUDNZD,12,1.5,time_only_2x,-0.208,-0.16,-0.313,412,55.6,-1.81,-0.64
AUDNZD,12,2.0,time_only,0.098,0.381,-0.348,161,53.4,1.1,0.3
AUDNZD,12,2.0,time_only_2x,-0.113,0.118,-0.618,151,53.0,-1.71,-0.34
AUDNZD,24,1.5,time_only,-0.431,-0.362,-0.588,359,51.0,-4.17,-1.33
AUDNZD,24,1.5,time_only_2x,-0.319,-0.269,-0.428,263,57.4,-4.52,-0.98
AUDNZD,24,2.0,time_only,0.085,0.426,-0.651,214,50.9,1.16,0.26
AUDNZD,24,2.0,time_only_2x,-0.247,0.116,-1.014,166,47.6,-5.03,-0.76
AUDNZD,24,2.5,time_only,-0.374,-0.296,-0.511,68,47.1,-7.68,-1.14
AUDNZD,24,2.5,time_only_2x,-0.389,-0.283,-0.587,59,44.1,-12.82,-1.19
AUDNZD,48,1.5,time_only,-0.455,-0.144,-1.108,205,48.3,-8.07,-1.4
AUDNZD,48,1.5,time_only_2x,-0.425,-0.105,-1.042,153,56.2,-10.84,-1.3
AUDNZD,48,2.0,time_only,-0.116,0.394,-1.152,150,46.7,-2.45,-0.35
AUDNZD,48,2.0,time_only_2x,-0.257,0.228,-1.104,118,54.2,-8.16,-0.79
AUDNZD,48,2.5,time_only,0.177,0.659,-0.959,74,48.6,6.14,0.54
AUDNZD,48,2.5,time_only_2x,0.237,0.7,-0.781,64,57.8,12.02,0.72
AUDNZD,96,1.5,time_only,-0.555,-0.324,-0.943,112,51.8,-17.91,-1.71
AUDNZD,96,1.5,time_only_2x,-0.436,-0.231,-0.772,86,53.5,-19.3,-1.34
AUDNZD,96,2.0,time_only,-0.368,-0.054,-0.867,87,50.6,-12.97,-1.13
AUDNZD,96,2.0,time_only_2x,-0.469,-0.221,-0.83,64,54.7,-26.41,-1.44
AUDNZD,96,2.5,time_only,-0.336,-0.043,-0.832,53,49.1,-14.98,-1.02
AUDNZD,96,2.5,time_only_2x,-0.347,-0.092,-0.682,40,47.5,-26.04,-1.06
EURCHF,12,1.5,time_only,-0.508,-0.332,-0.82,502,50.8,-3.17,-1.56
EURCHF,12,1.5,time_only_2x,-0.668,-0.336,-1.236,392,51.3,-5.8,-2.06
EURCHF,12,2.0,time_only,-0.94,-0.836,-1.124,178,45.5,-9.85,-2.92
EURCHF,12,2.0,time_only_2x,-1.151,-0.813,-1.668,159,42.1,-15.33,-3.63
EURCHF,24,1.5,time_only,-0.786,-0.407,-1.453,335,49.0,-7.92,-2.43
EURCHF,24,1.5,time_only_2x,-0.857,-0.556,-1.319,245,49.0,-11.89,-2.66
EURCHF,24,2.0,time_only,-0.668,-0.295,-1.256,192,43.2,-9.03,-2.07
EURCHF,24,2.0,time_only_2x,-0.412,-0.149,-0.861,154,44.8,-8.09,-1.27
EURCHF,24,2.5,time_only,-1.099,-0.924,-1.373,73,32.9,-22.42,-3.63
EURCHF,24,2.5,time_only_2x,-1.051,-0.956,-1.202,68,30.9,-30.52,-3.46
EURCHF,48,1.5,time_only,-0.37,-0.346,-0.41,195,50.8,-6.15,-1.13
EURCHF,48,1.5,time_only_2x,-0.328,-0.411,-0.188,150,61.3,-7.42,-1.0
EURCHF,48,2.0,time_only,-0.093,-0.079,-0.116,143,49.0,-2.05,-0.28
EURCHF,48,2.0,time_only_2x,-0.002,-0.002,-0.002,114,57.0,-0.05,-0.01
EURCHF,48,2.5,time_only,-0.372,-0.301,-0.479,83,43.4,-10.41,-1.14
EURCHF,48,2.5,time_only_2x,-0.451,-0.377,-0.57,68,47.1,-17.69,-1.39
EURCHF,96,1.5,time_only,0.086,0.014,0.2,107,54.2,2.63,0.26
EURCHF,96,1.5,time_only_2x,-0.045,-0.028,-0.069,84,61.9,-1.85,-0.14
EURCHF,96,2.0,time_only,0.506,0.47,0.616,83,50.6,18.83,1.56
EURCHF,96,2.0,time_only_2x,0.078,0.136,-0.023,62,56.5,4.4,0.23
EURCHF,96,2.5,time_only,0.239,0.153,0.525,55,49.1,11.14,0.73
EURCHF,96,2.5,time_only_2x,0.013,0.079,-0.122,44,56.8,0.85,0.04
AUDCAD,12,1.5,time_only,0.293,0.368,0.167,518,51.2,2.57,0.9
AUDCAD,12,1.5,time_only_2x,0.308,0.481,0.019,401,54.1,3.71,0.95
AUDCAD,12,2.0,time_only,0.317,0.184,0.595,157,54.1,4.38,0.98
AUDCAD,12,2.0,time_only_2x,0.066,-0.112,0.451,140,55.0,1.42,0.2
AUDCAD,24,1.5,time_only,0.125,0.172,0.033,349,50.4,1.82,0.38
AUDCAD,24,1.5,time_only_2x,-0.093,-0.085,-0.107,261,57.1,-1.74,-0.29
AUDCAD,24,2.0,time_only,0.446,0.596,0.178,207,54.1,9.15,1.37
AUDCAD,24,2.0,time_only_2x,0.249,0.288,0.174,167,50.9,6.13,0.76
AUDCAD,24,2.5,time_only,0.6,1.073,-0.124,63,60.3,16.22,1.83
AUDCAD,24,2.5,time_only_2x,0.606,1.065,-0.192,56,51.8,26.46,1.85
AUDCAD,48,1.5,time_only,-0.139,-0.441,0.438,200,49.0,-3.09,-0.42
AUDCAD,48,1.5,time_only_2x,-0.019,-0.188,0.293,153,61.4,-0.59,-0.06
AUDCAD,48,2.0,time_only,0.042,-0.262,0.576,137,41.6,1.16,0.13
AUDCAD,48,2.0,time_only_2x,0.322,0.195,0.576,114,61.4,12.82,0.98
AUDCAD,48,2.5,time_only,0.215,0.431,-0.234,74,45.9,7.64,0.64
AUDCAD,48,2.5,time_only_2x,0.466,0.449,0.51,62,61.3,25.19,1.41
AUDCAD,96,1.5,time_only,0.219,-0.065,0.78,112,58.9,9.33,0.67
AUDCAD,96,1.5,time_only_2x,0.066,-0.193,0.705,83,61.4,3.69,0.2
AUDCAD,96,2.0,time_only,0.054,-0.117,0.417,86,47.7,2.83,0.16
AUDCAD,96,2.0,time_only_2x,0.314,0.19,0.646,68,54.4,20.07,0.95
AUDCAD,96,2.5,time_only,0.603,0.706,0.417,54,53.7,43.26,1.87
AUDCAD,96,2.5,time_only_2x,0.825,0.832,0.829,46,69.6,89.55,2.66
GBPAUD,12,1.5,time_only,0.185,0.256,0.055,505,49.7,1.67,0.57
GBPAUD,12,1.5,time_only_2x,0.005,0.13,-0.255,402,55.2,0.07,0.02
GBPAUD,12,2.0,time_only,0.465,0.423,0.558,176,54.5,6.42,1.43
GBPAUD,12,2.0,time_only_2x,0.242,0.094,0.528,158,52.5,5.62,0.74
GBPAUD,24,1.5,time_only,0.744,0.911,0.44,367,56.9,11.1,2.3
GBPAUD,24,1.5,time_only_2x,0.638,0.715,0.497,280,61.8,12.69,1.97
GBPAUD,24,2.0,time_only,0.406,0.559,0.15,216,56.0,8.3,1.25
GBPAUD,24,2.0,time_only_2x,0.568,0.614,0.488,177,58.2,15.07,1.76
GBPAUD,24,2.5,time_only,0.375,0.371,0.382,64,54.7,15.12,1.13
GBPAUD,24,2.5,time_only_2x,0.538,0.532,0.548,63,52.4,29.69,1.64
GBPAUD,48,1.5,time_only,0.046,0.235,-0.304,198,49.5,1.18,0.14
GBPAUD,48,1.5,time_only_2x,0.133,0.208,-0.011,157,63.7,4.83,0.41
GBPAUD,48,2.0,time_only,0.105,0.377,-0.395,139,49.6,3.32,0.32
GBPAUD,48,2.0,time_only_2x,-0.033,0.077,-0.253,107,54.2,-1.75,-0.1
