cong cu,N,k,ts,ALL,FORM,OOS,n,thang%,net,t,nam+
AUDNZD,12,1.5,1.0,-0.027,-0.224,0.309,555,61.3,-0.13,-0.08,4/7
AUDNZD,12,1.5,2.0,-0.055,-0.305,0.427,500,61.6,-0.31,-0.17,4/7
AUDNZD,12,1.5,3.0,0.054,-0.13,0.406,496,61.7,0.3,0.17,4/7
AUDNZD,12,2.0,1.0,-0.006,0.098,-0.148,163,58.9,-0.06,-0.02,4/7
AUDNZD,12,2.0,2.0,-0.02,0.004,-0.058,159,59.7,-0.2,-0.06,4/7
AUDNZD,12,2.0,3.0,0.038,0.072,-0.019,158,60.1,0.4,0.11,4/7
AUDNZD,24,1.5,1.0,-0.208,-0.277,-0.091,391,62.9,-1.57,-0.64,3/7
AUDNZD,24,1.5,2.0,-0.195,-0.21,-0.171,352,63.9,-1.67,-0.61,3/7
AUDNZD,24,1.5,3.0,-0.18,-0.2,-0.146,345,64.1,-1.56,-0.56,3/7
AUDNZD,24,2.0,1.0,-0.184,-0.017,-0.467,220,60.9,-1.97,-0.57,3/7
AUDNZD,24,2.0,2.0,-0.192,0.003,-0.518,201,61.7,-2.3,-0.59,3/7
AUDNZD,24,2.0,3.0,-0.229,-0.046,-0.563,197,61.4,-2.89,-0.71,3/7
AUDNZD,24,2.5,1.0,-0.236,-0.28,-0.168,69,59.4,-4.66,-0.71,3/7
AUDNZD,24,2.5,2.0,-0.256,-0.407,0.004,64,60.9,-5.88,-0.77,3/7
AUDNZD,24,2.5,3.0,-0.293,-0.455,0.033,64,60.9,-7.32,-0.89,3/7
AUDNZD,48,1.5,1.0,-0.495,-0.343,-0.784,220,58.2,-6.95,-1.54,1/7
AUDNZD,48,1.5,2.0,-0.556,-0.395,-0.828,191,59.2,-9.62,-1.71,0/7
AUDNZD,48,1.5,3.0,-0.543,-0.387,-0.797,189,59.3,-9.28,-1.68,0/7
AUDNZD,48,2.0,1.0,-0.176,0.126,-0.672,156,60.3,-2.97,-0.54,3/7
