family,tf,ALL,FORM,OOS,ann%,vol%,maxDD%,gross,phi_gd,swap,turn/năm,%trong_tt
zscore_fast,M30,-0.585,-0.685,-0.436,-1.32,1.55,7.65,-0.012,0.0018,0.0004,1.8,0.073
xs_mom_1w,M30,0.848,0.825,0.89,4.16,3.38,5.65,0.0399,0.0003,-0.0008,1.7,0.995
tsmom_2w,M30,0.65,0.43,1.056,2.38,2.52,3.23,0.0261,0.0,0.0018,0.3,0.992
donchian_2d,M30,-3.519,-3.207,-4.51,-32.62,6.39,204.81,-0.273,0.0715,0.0021,322.8,0.995
zscore_zn,H1,0.77,0.541,1.224,5.16,4.62,5.57,0.1222,0.0113,-0.0007,6.6,0.65
zscore_fast,H1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xs_mom_1m,H1,0.844,0.833,0.865,4.17,3.41,5.71,0.0824,0.0002,-0.0018,0.4,0.979
tsmom_3m,H1,0.687,0.493,1.044,2.52,2.53,3.22,0.0573,0.0,0.0028,0.2,0.946
donchian_1w,H1,-1.894,-1.997,-1.755,-11.53,4.2,74.06,-0.2052,0.0328,0.0043,102.2,0.996
zscore_slow,H4,0.034,0.044,,0.04,0.79,1.59,0.0052,0.0006,0.0022,0.1,0.029
xs_mom_2m,H4,0.853,0.822,0.908,4.19,3.39,5.72,0.2629,0.0005,-0.0055,0.3,0.972
tsmom_6m,H4,0.742,0.554,1.082,2.67,2.48,3.23,0.1826,0.0001,0.0108,0.2,0.92
donchian_1m,H4,-1.298,-1.121,-1.556,-8.05,4.28,51.12,-0.4904,0.0394,0.0168,26.8,0.984
cross_carry,H4,0.168,0.222,0.077,1.1,4.53,11.22,-0.0148,0.0013,0.0129,0.9,0.997
zscore_slow,D1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xs_mom_3m,D1,0.915,0.914,0.92,4.48,3.38,5.73,1.6738,0.0019,-0.0395,0.2,0.949
tsmom_12m,D1,0.75,0.559,1.076,2.64,2.42,3.03,1.0383,0.0007,0.0301,0.2,0.834
donchian_55,D1,-0.837,-0.888,-0.757,-5.08,4.19,34.41,-1.9819,0.0787,0.0946,9.4,0.966
cross_carry,D1,0.164,0.192,0.117,1.08,4.55,11.56,0.0895,0.0059,0.072,0.7,0.987
