timeframe,lookback,hold,sign,n_obs,gross_bps,t_stat,bps_per_bar,cost_ratio,hit_rate
H1,4,4,-1,7258,0.0929,0.42,0.0232,0.056,0.5015
H1,4,8,-1,3629,0.0459,0.1,0.0057,0.028,0.504
H1,4,12,-1,2419,0.6778,1.03,0.0565,0.409,0.5043
H1,4,24,-1,1209,-0.4455,-0.36,-0.0186,-0.269,0.4955
H1,4,48,-1,604,-0.1109,-0.04,-0.0023,-0.067,0.495
H1,4,96,-1,301,-3.6561,-0.73,-0.0381,-2.206,0.4751
H1,8,4,-1,7258,0.0655,0.29,0.0164,0.04,0.5036
H1,8,8,-1,3628,-0.1658,-0.39,-0.0207,-0.1,0.4945
H1,8,12,-1,2419,-0.5587,-0.88,-0.0466,-0.337,0.4866
H1,8,24,-1,1209,-1.7235,-1.39,-0.0718,-1.04,0.4748
H1,8,48,-1,604,-4.4825,-1.71,-0.0934,-2.705,0.457
H1,8,96,-1,301,-10.133,-1.94,-0.1056,-6.115,0.4352
H1,12,4,-1,7258,0.0271,0.12,0.0068,0.016,0.5094
H1,12,8,-1,3629,0.1099,0.25,0.0137,0.066,0.499
H1,12,12,-1,2418,0.7651,1.09,0.0638,0.462,0.5087
H1,12,24,-1,1209,-0.1119,-0.08,-0.0047,-0.068,0.4938
H1,12,48,-1,604,-0.7264,-0.28,-0.0151,-0.438,0.4735
H1,12,96,-1,301,-6.6341,-1.34,-0.0691,-4.004,0.4319
H1,24,4,-1,7258,0.1706,0.76,0.0426,0.103,0.5048
H1,24,8,-1,3628,0.0768,0.18,0.0096,0.046,0.5083
H1,24,12,-1,2418,0.198,0.28,0.0165,0.119,0.5008
H1,24,24,-1,1208,1.1354,0.87,0.0473,0.685,0.529
H1,24,48,-1,604,-0.0097,-0.0,-0.0002,-0.006,0.5116
H1,24,96,-1,301,1.2693,0.26,0.0132,0.766,0.5183
H1,48,4,-1,7258,0.2514,1.11,0.0628,0.152,0.5001
H1,48,8,-1,3628,0.4807,1.11,0.0601,0.29,0.5055
H1,48,12,-1,2418,1.2883,1.88,0.1074,0.777,0.5157
H1,48,24,-1,1208,2.2854,1.75,0.0952,1.379,0.5116
H1,48,48,-1,603,4.2058,1.67,0.0876,2.538,0.529
H1,48,96,-1,301,3.4631,0.7,0.0361,2.09,0.5349
H1,96,4,-1,7247,0.3088,1.32,0.0772,0.186,0.5072
H1,96,8,-1,3623,0.5098,1.14,0.0637,0.308,0.5092
H1,96,12,-1,2415,0.7756,1.07,0.0646,0.468,0.5238
H1,96,24,-1,1207,1.8352,1.42,0.0765,1.108,0.5228
H1,96,48,-1,603,1.7644,0.73,0.0368,1.065,0.5158
H1,96,96,-1,301,0.2876,0.06,0.003,0.174,0.5183
