tf,họ,công cụ,N,k,ts,ALL,FORM,OOS,n,thắng%,net,t,năm+
H1,gap_fade,EURGBP,14,0.3,24,0.04,0.048,0.021,393,53.9,0.26,0.12,4/7
H1,gap_fade,EURGBP,14,0.3,96,0.082,0.292,-0.398,298,54.7,1.01,0.25,3/7
H1,gap_fade,EURGBP,14,0.5,24,-0.301,-0.331,-0.251,138,46.4,-3.68,-0.92,3/7
H1,gap_fade,EURGBP,14,0.5,96,-0.188,-0.072,-0.548,113,50.4,-4.52,-0.58,3/7
H1,gap_fade,EURGBP,24,0.3,24,-0.029,-0.046,0.013,393,53.9,-0.19,-0.09,4/7
H1,gap_fade,EURGBP,24,0.3,96,0.029,0.212,-0.388,299,54.5,0.36,0.09,2/7
H1,gap_fade,EURGBP,24,0.5,24,-0.117,-0.244,0.168,140,47.9,-1.45,-0.36,3/7
H1,gap_fade,EURGBP,24,0.5,96,0.002,-0.011,0.028,113,51.3,0.04,0.01,4/7
H1,gap_fade,EURGBP,48,0.3,24,-0.031,-0.044,-0.0,392,53.8,-0.21,-0.1,3/7
H1,gap_fade,EURGBP,48,0.3,96,0.075,0.29,-0.401,300,55.3,0.93,0.23,3/7
H1,gap_fade,EURGBP,48,0.5,24,-0.02,-0.075,0.111,136,48.5,-0.26,-0.06,4/7
H1,gap_fade,EURGBP,48,0.5,96,0.103,0.011,0.273,114,51.8,2.68,0.32,4/7
H1,gap_fade,EURAUD,14,0.3,24,-0.116,-0.036,-0.281,721,51.7,-0.67,-0.36,3/7
H1,gap_fade,EURAUD,14,0.3,96,0.057,0.245,-0.298,565,54.5,0.63,0.17,5/7
H1,gap_fade,EURAUD,14,0.5,24,0.354,0.397,0.277,332,53.3,3.54,1.09,5/7
H1,gap_fade,EURAUD,14,0.5,96,0.141,0.311,-0.159,266,56.4,2.96,0.43,5/7
H1,gap_fade,EURAUD,14,0.8,24,-0.122,-0.153,-0.071,115,47.8,-1.96,-0.37,3/7
H1,gap_fade,EURAUD,14,0.8,96,-0.279,-0.356,-0.152,99,49.5,-12.03,-0.86,3/7
H1,gap_fade,EURAUD,24,0.3,24,-0.099,-0.007,-0.283,710,51.3,-0.58,-0.3,3/7
H1,gap_fade,EURAUD,24,0.3,96,0.174,0.386,-0.23,558,55.0,1.94,0.53,5/7
H1,gap_fade,EURAUD,24,0.5,24,0.353,0.381,0.306,322,53.4,3.49,1.09,5/7
H1,gap_fade,EURAUD,24,0.5,96,0.048,0.075,0.002,262,54.6,1.01,0.15,4/7
H1,gap_fade,EURAUD,24,0.8,24,0.118,0.16,0.052,115,50.4,1.78,0.36,5/7
H1,gap_fade,EURAUD,24,0.8,96,-0.153,-0.17,-0.124,98,52.0,-6.66,-0.47,3/7
