tf,rule,ALL,FORM,OOS,gross,phi,turn/năm
H1,skew_21d,0.44,0.489,0.351,0.06435,0.02054,4.3
H1,skew_21d_rel,0.322,0.421,0.14,0.0514,0.02291,4.5
H1,skew_42d,0.285,0.456,-0.036,0.04305,0.01349,2.5
H1,skew_42d_rel,0.279,0.574,-0.26,0.04067,0.0152,2.4
H1,skew_63d,0.249,0.157,0.431,0.03669,0.01027,1.9
H1,skew_63d_rel,0.227,0.195,0.291,0.03355,0.01244,1.8
H1,skew_126d,0.217,0.048,0.498,0.02793,0.0049,1.0
H1,skew_126d_rel,0.152,0.047,0.33,0.02229,0.00868,0.9
H1,skew_252d,0.254,0.22,0.309,0.02883,0.00216,0.6
H1,skew_252d_rel,0.172,0.169,0.178,0.02049,0.00544,0.5
H1,kurt_42d,-0.54,-0.445,-0.728,-0.03515,0.00777,0.6
H1,kurt_42d_rel,-0.344,-0.675,0.263,-0.00706,0.01291,1.6
H1,kurt_63d,-0.493,-0.424,-0.625,-0.033,0.00651,0.5
H1,kurt_63d_rel,-0.27,-0.664,0.431,-0.00358,0.01131,1.1
H1,kurt_126d,-0.483,-0.459,-0.522,-0.03312,0.0048,0.3
H1,kurt_126d_rel,-0.158,-0.725,0.591,0.00097,0.00956,0.6
H1,volcarry_5_63,-0.636,-0.483,-0.925,-0.03793,0.00969,0.9
H1,volcarry_5_63_rel,-1.253,-1.325,-1.13,-0.02446,0.05424,13.7
H1,volcarry_10_126,-0.651,-0.503,-0.925,-0.04082,0.0072,0.3
H1,volcarry_10_126_rel,-0.964,-0.922,-1.039,-0.03171,0.02827,6.5
H1,volcarry_21_252,-0.534,-0.336,-0.884,-0.03317,0.00542,0.1
H1,volcarry_21_252_rel,-0.704,-1.109,-0.176,-0.02658,0.01361,2.5
H1,season_21d,-11.65,-11.133,-12.715,-0.02519,1.4359,404.3
H1,season_63d,-11.76,-11.176,-12.852,-0.02104,1.38807,391.9
H1,season_126d,-11.235,-10.838,-11.87,0.01029,1.31294,371.3
M30,skew_21d,0.333,0.517,-0.009,0.02588,0.01073,4.3
M30,skew_21d_rel,0.198,0.385,-0.137,0.0196,0.0113,4.3
M30,skew_42d,0.249,0.323,0.114,0.01883,0.0072,2.4
M30,skew_42d_rel,0.169,0.323,-0.097,0.01503,0.00776,2.4
M30,skew_63d,0.188,-0.022,0.583,0.01476,0.00567,1.8
M30,skew_63d_rel,-0.031,-0.093,0.08,0.00513,0.00648,1.7
M30,skew_126d,0.27,0.058,0.646,0.01612,0.00348,1.1
M30,skew_126d_rel,0.048,-0.117,0.331,0.00669,0.00473,1.0
M30,skew_252d,0.423,0.211,0.764,0.02065,0.00171,0.6
M30,skew_252d_rel,0.18,0.041,0.408,0.01023,0.00353,0.6
M30,kurt_42d,-0.518,-0.388,-0.775,-0.01529,0.00387,0.6
M30,kurt_42d_rel,-0.283,-0.554,0.23,-0.00129,0.00637,1.5
M30,kurt_63d,-0.567,-0.481,-0.734,-0.01777,0.00332,0.4
M30,kurt_63d_rel,-0.601,-0.921,0.004,-0.01006,0.00555,1.1
M30,kurt_126d,-0.518,-0.482,-0.581,-0.01653,0.00248,0.3
M30,kurt_126d_rel,-0.211,-0.729,0.545,-0.00065,0.00468,0.6
M30,volcarry_5_63,-0.614,-0.455,-0.922,-0.01701,0.00463,0.8
M30,volcarry_5_63_rel,-1.038,-0.864,-1.376,-0.00328,0.02736,13.9
M30,volcarry_10_126,-0.637,-0.481,-0.926,-0.01842,0.00355,0.3
M30,volcarry_10_126_rel,-0.887,-0.874,-0.911,-0.01239,0.0136,6.3
M30,volcarry_21_252,-0.57,-0.41,-0.851,-0.01649,0.00275,0.1
M30,volcarry_21_252_rel,-0.548,-0.906,-0.066,-0.00811,0.00655,2.3
M30,season_21d,-17.105,-16.161,-18.892,-0.00968,1.4261,805.6
M30,season_63d,-17.393,-16.908,-18.18,-0.00039,1.38219,781.1
M30,season_126d,-16.46,-15.781,-17.584,-0.01909,1.31499,744.0
