,H4·GBPCAD·N96·k1.5,H4·GBPCAD·N96·k2.0,H4·GBPCAD·N96·k2.5,H4·EURCHF·N96·k2.0,CrossMeanRev_H1,CrossXsRev_H4,CurrRev_D1,CurrCarry_D1,CrossMom_D1
2020-01-02,,,,,,0.0,0.0,0.0,0.0
2020-01-03,,,,,,0.0,0.0,0.0,0.0
2020-01-04,,,,,,0.0,,,0.0
2020-01-05,,,,,,0.0,0.0,0.0,0.0
2020-01-06,,,,,,0.0,0.0,0.0,0.0
2020-01-07,,,,,,0.0,0.0,0.0,0.0
2020-01-08,,,,,,0.0,0.0,0.0,0.0
2020-01-09,,,,,,0.0,0.0,0.0,0.0
2020-01-10,,,,,,2.2792768002040007,0.0,0.0,0.0
2020-01-11,,,,,,0.0,,,0.0
2020-01-12,,,,,,0.0,0.0,0.0,0.0
2020-01-13,,,,,,-18.93612988205112,0.0,0.0,0.0
2020-01-14,,,,,,3.5082180354515624,0.0,0.0,0.0
2020-01-15,,,,,,-12.735705352789976,0.0,0.0,0.0
2020-01-16,,,,,,-4.995130810540317,0.0,0.0,0.0
2020-01-17,,,,,,11.777308305028157,0.0,0.0,0.0
2020-01-18,,,,,,0.0,,,0.0
2020-01-19,,,,,,0.0,0.0,0.0,0.0
2020-01-20,,,,,,9.625110730779369,0.0,0.0,0.0
2020-01-21,,,,,,-21.63316327552111,0.0,0.0,0.0
2020-01-22,,,,,,-5.726304764669238,0.0,0.0,0.0
2020-01-23,,,,,,-4.779723741018188,0.0,0.0,0.0
2020-01-24,,,,,,-5.405676887475874,0.0,0.0,0.0
2020-01-25,,,,,,0.0,,,0.0
2020-01-26,,,,,,0.0,0.0,0.0,0.0
2020-01-27,,,,,,27.612667804695306,0.0,0.0,0.0
2020-01-28,,,,,,21.964500765429282,0.0,0.0,0.0
2020-01-29,,,,,,-6.827983371880437,0.0,0.0,0.0
2020-01-30,,,,,,-35.74570737248831,0.0,0.0,0.0
2020-01-31,,,,,,-74.19453084342199,0.0,0.0,0.0
2020-02-01,,,,,,0.0,,,0.0
2020-02-02,,,,,,0.0,0.0,0.0,0.0
2020-02-03,,,,,,49.28135581888774,0.0,0.0,0.0
2020-02-04,,,,,,45.103773743412226,0.0,0.0,0.0
2020-02-05,,,,,,14.30876943024265,0.0,0.0,0.0
2020-02-06,,,,-61.11943007068247,,-3.415812230769931,0.0,0.0,0.0
2020-02-07,,,,0.0,,39.34806110683474,0.0,0.0,0.0
2020-02-08,,,,0.0,,0.0,,,0.0
2020-02-09,,,,0.0,,0.0,0.0,0.0,0.0
2020-02-10,,,,0.0,,-3.5667756176023477,0.0,0.0,0.0
2020-02-11,,,,0.0,,2.7645113223843443,0.0,0.0,0.0
2020-02-12,,,,0.0,,3.9618479679954604,0.0,0.0,0.0
2020-02-13,,,,0.0,,-37.16716646466766,0.0,0.0,0.0
2020-02-14,,,-27.990292613087675,0.0,,-11.818111743614486,0.0,0.0,0.0
2020-02-15,,,0.0,0.0,,0.0,,,0.0
2020-02-16,,,0.0,0.0,,0.0,0.0,0.0,0.0
2020-02-17,,,0.0,0.0,,17.896895477893555,0.0,0.0,0.0
2020-02-18,,,0.0,0.0,,-6.735819042264724,0.0,0.0,0.0
2020-02-19,,,0.0,0.0,,-2.205133370427001,0.0,0.0,0.0
2020-02-20,95.88145862537671,105.90190591844227,0.0,0.0,,-29.034124432329712,-45.46633136360173,-1.629838101206556,0.0
2020-02-21,0.0,0.0,0.0,0.0,,-5.153141255540338,24.32271478201982,-42.48118372745504,0.0
2020-02-22,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-02-23,0.0,0.0,0.0,0.0,,0.0,-9.11120559083224,-11.947209910668816,0.0
2020-02-24,0.0,0.0,0.0,0.0,,31.46466773911628,46.83155434550045,-18.047652899918496,0.0
2020-02-25,0.0,0.0,0.0,0.0,,-19.677669841027786,4.072609614202645,-48.98174439742353,0.0
2020-02-26,0.0,0.0,0.0,0.0,,-48.07864245014047,14.283356662329547,-25.372486552975747,0.0
2020-02-27,0.0,0.0,0.0,0.0,,-34.62919452158862,104.51497311495716,-102.26080957431196,0.0
2020-02-28,142.47376846251964,0.0,0.0,0.0,,-115.91015970627353,33.541572135079996,-85.56684468913316,0.0
2020-02-29,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-03-01,0.0,0.0,0.0,0.0,,0.0,13.401832304496825,-31.758208100560076,0.0
2020-03-02,183.9875928533046,0.0,0.0,0.0,,-12.224385891728716,23.51926571147256,-3.1405944557429666,0.0
2020-03-03,0.0,0.0,0.0,-7.597115019879656,,-11.912857502217513,65.82501650884785,-76.67210409275171,0.0
2020-03-04,0.0,0.0,0.0,0.0,,39.385574586852655,-22.5507033756424,38.608767833422085,0.0
2020-03-05,212.3914786568797,0.0,0.0,0.0,,-1.6427291895017868,75.99733156256522,-113.58969454573733,0.0
2020-03-06,0.0,210.3830704491601,0.0,0.0,,-27.95339761164759,73.30241654410952,-80.58438180219933,0.0
2020-03-07,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-03-08,0.0,0.0,0.0,0.0,,-51.92134995835653,130.92799044406624,-194.3575281568952,0.0
2020-03-09,0.0,0.0,0.0,110.54020110917554,,-33.010961049513185,46.548556437802894,-26.37376379855147,0.0
2020-03-10,0.0,0.0,0.0,0.0,,36.094615086787705,-92.56354273192646,81.24150733699746,0.0
2020-03-11,0.0,0.0,0.0,0.0,,-12.89902463757578,12.852507881717324,9.49581602131393,0.0
2020-03-12,0.0,0.0,0.0,0.0,,-123.50920791935138,-42.16748124505282,-29.424678165453457,0.0
2020-03-13,0.0,0.0,0.0,0.0,,8.178022738494732,-158.28036487927238,182.14799772950877,0.0
2020-03-14,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-03-15,0.0,0.0,0.0,0.0,,-83.36973403559881,31.875103858598365,-83.91149594750848,0.0
2020-03-16,0.0,0.0,0.0,0.0,,-54.816896422348016,-103.23715401293873,-95.72061629516612,0.0
2020-03-17,0.0,0.0,0.0,0.0,,-20.47241777562518,-40.96587461689639,-21.948883222119417,0.0
2020-03-18,0.0,0.0,0.0,0.0,,-160.142388773612,-226.10440519746157,-255.13807900037764,0.0
2020-03-19,291.94707326877136,0.0,0.0,0.0,,103.93669991312997,197.6857750172761,191.2461500117007,0.0
2020-03-20,0.0,0.0,0.0,0.0,,43.2865391674344,54.39108632120837,63.115277048579514,0.0
2020-03-21,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-03-22,0.0,0.0,0.0,0.0,,-40.816639284325255,-122.03519534992054,-100.43051903633183,0.0
2020-03-23,0.0,0.0,0.0,0.0,,30.25211121948074,96.92318008306054,25.889371671983294,0.0
2020-03-24,0.0,0.0,0.0,0.0,,32.24208811934369,94.93987679132978,97.64795595699984,0.0
2020-03-25,0.0,0.0,0.0,0.0,,67.84994056694211,-53.37112557605268,-3.91831481620025,0.0
2020-03-26,0.0,0.0,0.0,0.0,,-72.47923425639935,87.84032257127811,86.26919788694308,0.0
2020-03-27,0.0,0.0,0.0,0.0,,-37.542538918836414,-1.5132684749029366,19.560459961516315,0.0
2020-03-28,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-03-29,0.0,0.0,0.0,0.0,,19.899897532161084,-16.054992864331883,-20.072084331639907,0.0
2020-03-30,0.0,0.0,-63.84171384117568,0.0,,4.039368897130171,30.822155426206372,15.28039899674253,0.0
2020-03-31,0.0,0.0,0.0,7.002506424922334,,15.294926436545444,-27.462921722313652,-4.785805463739104,0.0
2020-04-01,0.0,0.0,0.0,0.0,222.05700000000002,-22.328531587180493,-4.963261107121676,12.670402569356831,0.0
2020-04-02,0.0,0.0,0.0,0.0,37.74,-12.397101770848046,65.81069649879862,81.01336037947013,0.0
2020-04-03,0.0,0.0,0.0,0.0,0.0,24.356917486093902,-50.83226333468523,-44.7847866576674,0.0
2020-04-04,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-04-05,0.0,0.0,0.0,0.0,0.0,2.158584229321609,-15.314080421378298,-28.195297550803062,0.0
2020-04-06,0.0,0.0,0.0,0.0,67.383,62.86308814884361,166.1203537802556,106.50475340354889,0.0
2020-04-07,0.0,0.0,0.0,0.0,-768.676,-17.77115074851596,-32.84366726757859,-23.800326426940373,0.0
2020-04-08,0.0,0.0,0.0,0.0,114.079,-60.56378104547679,103.07007538364934,76.44318758442063,0.0
2020-04-09,0.0,0.0,0.0,0.0,-351.602,-40.757124471769295,-19.77360998281614,31.85314713214254,0.0
2020-04-10,0.0,0.0,0.0,0.0,-318.879,-10.0083669324001,5.291899451862084,1.3640546187325264,0.0
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-04-12,0.0,0.0,0.0,0.0,-66.876,15.058242112699665,3.5384441744060044,-12.253222941987364,0.0
2020-04-13,0.0,0.0,0.0,0.0,0.0,-26.76731429105591,-41.970374863402185,37.459953361462915,0.0
2020-04-14,0.0,0.0,0.0,0.0,0.0,11.30883806211448,14.566833735903645,-50.03177289824037,0.0
2020-04-15,0.0,0.0,0.0,0.0,-78.415,72.57848979365275,23.2708057302263,-61.45950344082474,0.0
2020-04-16,0.0,0.0,0.0,0.0,37.162,40.13113244701685,-59.04623302376284,70.63980182531661,0.0
2020-04-17,0.0,0.0,0.0,0.0,0.0,6.17559579707379,20.600151362035064,-3.8676900916822894,0.0
2020-04-18,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-04-19,0.0,0.0,0.0,0.0,0.0,-11.010949041192742,2.9564843771537594,-11.94591186115711,0.0
2020-04-20,0.0,0.0,0.0,0.0,99.597,-13.305130207297514,10.458141845124088,22.318294643440062,0.0
2020-04-21,0.0,-127.64967532405524,0.0,0.0,75.964,26.862586800557057,51.2343089996215,-61.030987906272465,0.0
2020-04-22,0.0,0.0,0.0,0.0,-3.342,32.79694927802784,-47.17051964378092,11.149470848688049,0.0
2020-04-23,0.0,0.0,0.0,0.0,0.0,24.90245467847311,-68.93390040644437,114.64389448299436,0.0
2020-04-24,0.0,0.0,0.0,0.0,49.901,10.286628323248122,21.540972144039404,-19.66988985220301,0.0
2020-04-25,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-04-26,0.0,0.0,0.0,0.0,0.0,0.7462169811340716,-6.462740528639417,8.1171619581373,0.0
2020-04-27,0.0,0.0,0.0,0.0,189.957,-46.378314348195566,-47.56732724806407,30.04662739867683,0.0
2020-04-28,0.0,0.0,0.0,40.10279576678793,44.747,-34.92573560455759,-3.7438867024110287,33.31457703990176,0.0
2020-04-29,0.0,0.0,0.0,0.0,354.988,-39.55188654402805,-13.841579270169403,43.748284016307586,-0.813620062063437
2020-04-30,0.0,0.0,0.0,0.0,201.959,88.81688620482979,36.75207656459333,-88.63016244320518,79.94462826047709
2020-05-01,0.0,0.0,0.0,0.0,264.971,98.8627151839508,104.61136194766219,-116.47534883355448,-5.872775574941911
2020-05-02,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-05-03,0.0,0.0,0.0,0.0,0.0,35.46748998601553,21.432819561078272,-41.54346401418591,0.0
2020-05-04,401.3589120379594,0.0,0.0,0.0,0.0,65.23849006083442,26.59530189273444,80.27947117489418,-32.99723540722953
2020-05-05,0.0,0.0,0.0,0.0,0.0,49.70848915307523,40.647030512002154,52.53209507092764,-34.072834432325514
2020-05-06,0.0,0.0,0.0,0.0,316.504,-22.85782220727323,-32.240714382790905,-23.87989262222232,-39.732062140986756
2020-05-07,0.0,0.0,0.0,0.0,-231.649,67.01581461237386,46.354990200234845,84.80366111498388,11.7793379208392
2020-05-08,0.0,0.0,0.0,0.0,157.396,-22.514084495857166,22.30525895615854,40.597949776791936,17.574273230705444
2020-05-09,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-05-10,0.0,0.0,0.0,0.0,0.0,-1.7243903803876381,7.4752486055273355,8.74981917885251,0.0
2020-05-11,0.0,0.0,0.0,0.0,231.951,19.266197965374843,-10.797496590436193,-27.56396781258727,32.53687717711028
2020-05-12,0.0,0.0,0.0,0.0,0.0,11.694054556905284,-37.6883870870559,-57.80962673656933,-21.730694902734626
2020-05-13,0.0,0.0,0.0,0.0,41.498,14.422466354570126,-37.79126807503804,-31.097868841475478,-9.677594030135447
2020-05-14,0.0,0.0,0.0,0.0,58.894999999999996,20.681037097937754,36.805634798932076,39.31892255174475,14.663814514246205
2020-05-15,0.0,0.0,0.0,0.0,123.207,-81.88459751157797,-56.71480685253292,-93.6477685810738,-13.985056268432102
2020-05-16,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-05-17,0.0,0.0,0.0,0.0,0.0,-3.6215015531640806,7.120159195949473,12.026972325818589,0.0
2020-05-18,0.0,0.0,0.0,0.0,146.666,63.56139758266656,59.69859688310044,77.78270891070188,14.10786978210083
2020-05-19,0.0,0.0,0.0,0.0,-1500.012,37.273954134368914,26.58724216499159,39.60682760199174,20.200816105632896
2020-05-20,0.0,0.0,0.0,-48.445240990031095,-14.415000000000006,-34.68848036344346,-18.236977132684892,10.479280733415699,-6.848299547218649
2020-05-21,0.0,0.0,0.0,0.0,0.0,16.345831060361007,16.943301195469594,11.11786020413366,-17.385715103104484
2020-05-22,0.0,0.0,0.0,0.0,0.0,15.700189503739843,-13.036980730909697,-8.173628005402518,-10.505370590914302
2020-05-23,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
2020-05-24,0.0,0.0,0.0,0.0,0.0,-8.061998083641111,6.626915046551106,6.744301912759794,0.0
2020-05-25,0.0,0.0,0.0,0.0,0.0,-1.0342505262326305,2.9727383192751544,5.201655590703524,7.613352943816759
2020-05-26,0.0,0.0,0.0,0.0,65.245,-32.39092914799488,22.332816171679784,36.64895379972886,23.935134129079337
2020-05-27,0.0,0.0,0.0,0.0,155.321,41.880473632851704,35.9143166692979,-12.562129170394766,5.1267463219148155
2020-05-28,0.0,0.0,0.0,0.0,0.0,18.83878076916442,13.029904110265036,-31.073457493958337,8.67400791626984
2020-05-29,0.0,0.0,0.0,0.0,0.0,-1.1025628787106978,-22.3406091161973,6.325011479266956,17.380687130994627
2020-05-30,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0
