tf,rule,ALL,FORM,OOS,gross,phi,turn/năm
H1,semidev_21d_rel,-0.954,-1.09,-0.704,-0.0561,0.03089,6.7
H1,drawdown_21d_rel,-0.044,-0.288,0.425,0.07741,0.0821,21.2
H1,volvol_21d_rel,-0.479,-0.477,-0.494,-0.0117,0.01674,2.9
H1,noise_21d_rel,-1.526,-1.879,-0.872,0.01915,0.12115,32.8
H1,jump_21d_rel,-0.249,-0.286,-0.18,0.01139,0.02621,5.6
H1,updown_21d_rel,-0.352,-0.558,0.048,0.03186,0.06445,16.4
H1,semidev_21d,-0.567,-0.45,-0.798,-0.0392,0.00722,0.6
H1,drawdown_21d,0.186,-0.234,0.987,0.06179,0.04419,10.6
H1,volvol_21d,-0.516,-0.322,-0.905,-0.03512,0.00756,0.9
H1,noise_21d,-0.578,-0.441,-0.843,-0.02928,0.01392,2.0
H1,jump_21d,0.241,-0.028,0.778,0.032,0.01283,1.8
H1,updown_21d,-0.525,-0.358,-0.848,-0.03219,0.00717,0.2
H1,semidev_63d_rel,-0.579,-0.652,-0.442,-0.04073,0.0162,2.8
H1,drawdown_63d_rel,0.122,0.035,0.279,0.05952,0.04668,11.3
H1,volvol_63d_rel,-0.177,-0.506,0.335,-0.00137,0.00995,1.0
H1,noise_63d_rel,-1.059,-1.039,-1.094,-0.02072,0.04792,11.9
H1,jump_63d_rel,-0.205,-0.294,-0.041,0.00179,0.01503,2.4
H1,updown_63d_rel,-0.197,-0.302,0.009,0.00727,0.02645,6.2
H1,semidev_63d,-0.569,-0.457,-0.788,-0.03987,0.00585,0.3
H1,drawdown_63d,0.444,0.118,1.015,0.06482,0.02492,5.2
H1,volvol_63d,-0.421,-0.379,-0.496,-0.03211,0.00421,0.4
H1,noise_63d,-0.612,-0.448,-0.923,-0.03703,0.00804,0.4
H1,jump_63d,0.404,0.127,0.932,0.03923,0.00789,0.5
H1,updown_63d,-0.569,-0.414,-0.866,-0.03571,0.00672,0.2
H1,semidev_126d_rel,-0.366,-0.383,-0.34,-0.02241,0.01139,1.5
H1,drawdown_126d_rel,-0.144,-0.26,0.046,0.01413,0.0284,6.7
H1,volvol_126d_rel,-0.138,-0.589,0.41,4e-05,0.0081,0.6
H1,noise_126d_rel,-0.865,-0.781,-0.99,-0.02968,0.0234,5.0
H1,jump_126d_rel,0.112,0.614,-0.517,0.01664,0.01014,1.0
H1,updown_126d_rel,-0.354,-0.357,-0.357,-0.02073,0.01381,2.9
H1,semidev_126d,-0.609,-0.499,-0.813,-0.04212,0.00533,0.2
H1,drawdown_126d,0.312,0.045,0.725,0.04286,0.01655,3.2
H1,volvol_126d,-0.518,-0.474,-0.595,-0.03794,0.00454,0.3
H1,noise_126d,-0.652,-0.49,-0.958,-0.04085,0.0067,0.2
H1,jump_126d,0.483,0.349,0.758,0.04547,0.00605,0.2
H1,updown_126d,-0.593,-0.445,-0.868,-0.03731,0.00621,0.1
H1,semidev_252d_rel,-0.496,-0.48,-0.547,-0.03674,0.00807,0.8
H1,drawdown_252d_rel,-0.2,-0.174,-0.241,-0.00321,0.01665,3.7
H1,volvol_252d_rel,-0.112,-0.4,0.239,0.00125,0.00639,0.3
H1,noise_252d_rel,-0.684,-1.179,-0.107,-0.02809,0.011,1.7
H1,jump_252d_rel,-0.262,0.584,-1.106,-0.00839,0.00667,0.5
H1,updown_252d_rel,-0.301,-0.332,-0.245,-0.02059,0.00746,1.3
H1,semidev_252d,-0.504,-0.313,-0.839,-0.03348,0.00437,0.2
H1,drawdown_252d,0.233,-0.085,0.663,0.02944,0.01074,1.9
H1,volvol_252d,-0.461,-0.283,-0.77,-0.03069,0.0049,0.2
H1,noise_252d,-0.523,-0.332,-0.859,-0.03162,0.00558,0.1
H1,jump_252d,0.271,0.066,0.624,0.02521,0.00434,0.2
H1,updown_252d,-0.489,-0.268,-0.879,-0.02964,0.00527,0.1
M30,semidev_21d_rel,-1.053,-1.281,-0.639,-0.02817,0.01634,7.1
M30,drawdown_21d_rel,-0.243,-0.475,0.191,0.03914,0.05124,27.1
M30,volvol_21d_rel,-0.318,-0.301,-0.354,-0.00027,0.00874,3.1
M30,noise_21d_rel,-2.088,-2.23,-1.843,0.00211,0.06696,36.5
M30,jump_21d_rel,-0.425,-0.355,-0.554,0.00181,0.01474,6.6
M30,updown_21d_rel,-0.56,-0.787,-0.126,0.01465,0.03795,19.6
M30,semidev_21d,-0.593,-0.505,-0.763,-0.01868,0.0036,0.5
M30,drawdown_21d,0.1,-0.321,0.898,0.03007,0.02567,12.6
M30,volvol_21d,-0.5,-0.327,-0.847,-0.01556,0.00382,0.9
M30,noise_21d,-0.604,-0.45,-0.901,-0.01488,0.00619,1.6
M30,jump_21d,0.256,-0.008,0.76,0.0151,0.00561,1.4
M30,updown_21d,-0.541,-0.383,-0.844,-0.01533,0.00355,0.2
M30,semidev_63d_rel,-0.47,-0.496,-0.427,-0.01232,0.00896,3.1
