vu tru,tf,k,ALL,FORM,OOS,ann%,maxDD%,n_lenh,gross,phi,swap,%tt,vithe_tb
7 cap USD,H1,2,-1.739,-1.931,-1.414,-10.47,68.03,7472,-0.032,0.191,0.015,0.9,2.4
7 cap USD,H1,3,-1.559,-1.658,-1.401,-9.18,58.24,7898,-0.01,0.194,0.015,0.87,2.4
7 cap USD,H1,5,-1.627,-1.629,-1.668,-7.22,45.79,8701,0.01,0.164,0.011,0.67,2.4
20 cross,H1,2,-2.238,-1.901,-2.925,-13.59,85.56,22368,0.005,0.301,0.016,0.93,6.9
20 cross,H1,3,-2.34,-2.58,-1.969,-12.47,78.6,23414,0.009,0.308,0.015,0.86,6.8
20 cross,H1,5,-1.544,-1.618,-1.433,-3.87,25.92,26945,0.026,0.1,0.006,0.36,6.4
27 ca hai,H1,2,-2.371,-2.362,-2.397,-12.95,81.54,29749,-0.018,0.286,0.017,0.98,9.4
27 ca hai,H1,3,-2.719,-2.626,-2.879,-14.35,90.06,30460,-0.016,0.305,0.017,0.96,9.3
27 ca hai,H1,5,-2.897,-3.183,-2.465,-17.35,108.25,33633,-0.008,0.37,0.017,0.91,9.1
7 cap USD,H4,2,-0.333,-0.076,-0.82,-2.06,18.77,2452,0.091,0.182,0.061,0.9,2.5
7 cap USD,H4,3,-0.446,-0.14,-1.039,-2.54,21.71,2643,0.072,0.19,0.059,0.87,2.5
7 cap USD,H4,5,-0.64,-0.489,-0.924,-2.84,21.9,2809,0.04,0.153,0.046,0.68,2.5
20 cross,H4,2,-0.913,-0.954,-0.848,-4.93,38.6,7262,-0.016,0.281,0.065,0.93,7.1
20 cross,H4,3,-1.697,-2.144,-0.918,-9.09,62.05,7822,-0.232,0.292,0.063,0.9,7.5
20 cross,H4,5,-1.205,-1.291,-1.069,-2.49,17.18,9115,-0.036,0.096,0.025,0.39,6.8
27 ca hai,H4,2,-1.119,-1.141,-1.094,-6.0,42.57,9756,-0.112,0.266,0.067,0.97,9.6
27 ca hai,H4,3,-1.236,-1.513,-0.828,-6.89,43.78,10357,-0.117,0.286,0.066,0.95,10.1
27 ca hai,H4,5,-0.99,-0.84,-1.259,-4.75,38.76,11115,0.029,0.287,0.055,0.76,9.4
7 cap USD,D1,2,-0.394,-0.398,-0.396,-2.58,20.87,427,-0.379,0.206,0.342,0.84,2.1
7 cap USD,D1,3,-0.578,-0.837,-0.103,-3.11,21.78,441,-0.59,0.202,0.337,0.83,2.3
7 cap USD,D1,5,-0.169,-0.272,0.051,-0.76,11.23,464,0.137,0.167,0.27,0.67,2.4
20 cross,D1,2,-0.302,-0.256,-0.385,-1.64,15.97,1157,0.021,0.282,0.366,0.88,6.4
20 cross,D1,3,-0.582,-0.745,-0.306,-2.95,20.68,1277,-0.508,0.295,0.341,0.81,6.6
20 cross,D1,5,-0.434,-0.421,-0.472,-0.81,6.47,1475,-0.078,0.093,0.163,0.41,7.4
27 ca hai,D1,2,-0.026,0.008,-0.095,-0.15,10.8,1533,0.58,0.264,0.373,0.91,8.5
27 ca hai,D1,3,-0.205,-0.189,-0.238,-1.11,12.72,1635,0.236,0.29,0.37,0.89,8.7
27 ca hai,D1,5,-0.625,-0.427,-0.897,-2.51,24.4,1790,-0.429,0.26,0.317,0.73,9.5
