nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
?,rsi_goc,EURUSD,M30,-0.2,-0.113,-0.356,-0.94,11.3,1099,0.37,0.91,0.17,-0.7,20.2,0.29
?,bb_goc,EURUSD,M30,-0.49,-0.429,-0.607,-3.01,23.03,2922,0.39,0.91,0.1,-0.62,12.1,0.47
?,bb_phien_LON,EURUSD,M30,-0.379,-0.424,-0.302,-1.83,16.48,1663,0.34,0.91,0.09,-0.65,10.7,0.23
?,bb_phien_OVE,EURUSD,M30,-0.396,-0.36,-0.467,-1.98,17.54,1561,0.23,0.91,0.1,-0.78,11.9,0.24
?,bb_phien_ASI,EURUSD,M30,-0.271,-0.33,-0.176,-0.89,9.99,1256,0.64,0.91,0.08,-0.35,10.1,0.17
?,bb_phien_LON+OVE,EURUSD,M30,-0.502,-0.449,-0.613,-2.86,22.29,2302,0.29,0.91,0.09,-0.72,11.2,0.34
?,bb_vol_THAP,EURUSD,M30,-1.003,-0.9,-1.188,-3.82,24.42,2268,-0.03,0.91,0.06,-0.99,6.9,0.21
?,bb_vol_CAO,EURUSD,M30,-0.265,-0.263,-0.269,-1.31,14.54,2147,0.55,0.91,0.08,-0.43,9.2,0.26
?,bb_adx<25,EURUSD,M30,-0.687,-0.576,-0.888,-2.77,20.02,2174,0.13,0.91,0.05,-0.83,6.1,0.17
?,bb_volTHAP+adx,EURUSD,M30,-0.906,-0.816,-1.069,-2.52,15.96,1452,-0.06,0.91,0.04,-1.01,5.0,0.09
?,bb_mtf,EURUSD,M30,-0.756,-0.828,-0.634,-3.53,25.62,1661,-0.34,0.91,0.09,-1.34,11.3,0.25
?,hop_luu_2/3,EURUSD,M30,-0.434,-0.484,-0.35,-2.62,19.42,2847,0.47,0.91,0.1,-0.54,12.1,0.45
?,hop_luu_3/3,EURUSD,M30,-0.328,-0.053,-0.804,-1.42,15.24,1084,0.1,0.91,0.13,-0.94,15.1,0.22
?,pha_ASI->LON_b0.0,EURUSD,M30,-0.646,-0.611,-0.73,-2.37,16.26,1447,0.08,0.91,0.06,-0.89,7.7,0.15
?,pha_ASI->LON_b0.25,EURUSD,M30,-0.665,-0.48,-1.028,-2.25,15.6,1351,0.02,0.91,0.06,-0.95,7.3,0.13
?,pha_ASI->OVE_b0.0,EURUSD,M30,-0.849,-0.496,-1.509,-4.33,27.91,1589,-0.63,0.91,0.06,-1.6,7.1,0.15
?,pha_ASI->OVE_b0.25,EURUSD,M30,-0.833,-0.399,-1.647,-4.09,26.32,1537,-0.55,0.91,0.06,-1.52,6.9,0.14
?,pha_LON->OVE_b0.0,EURUSD,M30,-1.128,-1.013,-1.362,-4.65,30.11,1344,-1.25,0.91,0.05,-2.21,5.6,0.1
?,pha_LON->OVE_b0.25,EURUSD,M30,-1.073,-1.062,-1.12,-4.03,26.53,1222,-1.2,0.91,0.04,-2.16,5.3,0.09
?,pha_ngay_truoc,EURUSD,M30,-0.821,-0.79,-0.874,-6.14,39.29,1327,-1.36,0.97,0.32,-2.65,38.2,0.66
?,rsi_goc,GBPUSD,M30,-0.679,-0.945,-0.181,-3.68,27.37,1118,-1.15,1.2,0.17,-2.52,20.5,0.3
?,bb_goc,GBPUSD,M30,-0.489,-0.25,-1.021,-3.52,27.3,2933,0.36,1.2,0.1,-0.94,12.1,0.46
?,bb_phien_LON,GBPUSD,M30,-0.497,-0.349,-0.839,-3.03,25.56,1757,-0.14,1.2,0.09,-1.43,10.5,0.24
?,bb_phien_OVE,GBPUSD,M30,-0.346,-0.197,-0.639,-1.86,18.13,1485,0.04,1.2,0.1,-1.26,11.9,0.23
?,bb_phien_ASI,GBPUSD,M30,-0.345,-0.204,-0.666,-1.38,12.49,1278,0.6,1.2,0.08,-0.69,10.3,0.17
?,bb_phien_LON+OVE,GBPUSD,M30,-0.406,-0.196,-0.875,-2.73,22.6,2326,0.23,1.2,0.09,-1.06,10.9,0.33
?,bb_vol_THAP,GBPUSD,M30,-0.475,-0.064,-1.253,-2.09,14.95,2259,0.68,1.2,0.06,-0.58,7.1,0.21
?,bb_vol_CAO,GBPUSD,M30,-0.723,-0.686,-0.832,-4.13,32.67,2128,-0.21,1.2,0.08,-1.48,9.1,0.25
?,bb_adx<25,GBPUSD,M30,-1.284,-0.995,-1.914,-5.83,38.05,2231,-0.42,1.2,0.05,-1.67,6.1,0.18
?,bb_volTHAP+adx,GBPUSD,M30,-0.808,-0.429,-1.556,-2.58,17.41,1460,0.12,1.2,0.04,-1.13,5.0,0.1
?,bb_mtf,GBPUSD,M30,-0.132,0.226,-0.858,-0.69,13.92,1854,0.85,1.2,0.09,-0.44,11.0,0.27
?,hop_luu_2/3,GBPUSD,M30,-0.537,-0.33,-1.001,-3.84,28.18,2873,0.33,1.2,0.1,-0.97,12.1,0.46
?,hop_luu_3/3,GBPUSD,M30,-0.277,-0.34,-0.16,-1.35,11.87,1142,0.33,1.2,0.12,-0.99,14.6,0.22
?,pha_ASI->LON_b0.0,GBPUSD,M30,-0.699,-0.569,-1.033,-3.15,22.67,1484,-0.11,1.2,0.06,-1.38,7.8,0.15
?,pha_ASI->LON_b0.25,GBPUSD,M30,-0.654,-0.485,-1.078,-2.79,19.77,1395,-0.09,1.2,0.06,-1.35,7.4,0.13
?,pha_ASI->OVE_b0.0,GBPUSD,M30,-0.729,-0.56,-1.107,-4.14,27.43,1587,0.03,1.2,0.06,-1.23,6.9,0.14
?,pha_ASI->OVE_b0.25,GBPUSD,M30,-0.619,-0.524,-0.837,-3.36,22.75,1521,0.19,1.2,0.06,-1.07,6.8,0.14
?,pha_LON->OVE_b0.0,GBPUSD,M30,-0.889,-0.689,-1.324,-4.12,29.07,1288,-0.46,1.2,0.05,-1.7,5.6,0.09
?,pha_LON->OVE_b0.25,GBPUSD,M30,-0.981,-0.887,-1.201,-4.03,27.04,1165,-0.5,1.2,0.04,-1.75,5.2,0.08
?,pha_ngay_truoc,GBPUSD,M30,-0.88,-0.916,-0.831,-7.3,47.25,1296,-1.38,1.31,0.33,-3.02,39.8,0.68
?,rsi_goc,EURUSD,H1,0.033,-0.071,0.209,0.16,7.01,561,0.42,0.91,0.33,-0.82,20.2,0.31
?,bb_goc,EURUSD,H1,-0.061,0.131,-0.378,-0.36,9.81,1391,0.87,0.91,0.21,-0.26,12.9,0.49
?,bb_phien_LON,EURUSD,H1,0.167,0.438,-0.283,0.75,6.63,870,1.17,0.91,0.16,0.09,9.9,0.23
?,bb_phien_OVE,EURUSD,H1,-0.035,0.101,-0.256,-0.16,8.39,900,0.86,0.91,0.19,-0.24,11.4,0.28
?,bb_phien_ASI,EURUSD,H1,0.09,0.243,-0.168,0.41,6.33,964,1.14,0.91,0.19,0.04,11.5,0.3
?,bb_phien_LON+OVE,EURUSD,H1,-0.106,-0.003,-0.284,-0.57,8.26,1166,0.6,0.91,0.18,-0.49,10.8,0.34
?,bb_vol_THAP,EURUSD,H1,-0.447,-0.4,-0.533,-1.79,12.42,1166,-0.07,0.91,0.12,-1.1,7.5,0.24
?,bb_vol_CAO,EURUSD,H1,0.008,0.24,-0.358,0.04,10.42,1218,1.05,0.91,0.12,0.02,7.6,0.25
?,bb_adx<25,EURUSD,H1,-0.609,-0.304,-1.063,-2.22,15.43,1003,-0.52,0.91,0.11,-1.53,6.4,0.18
?,bb_volTHAP+adx,EURUSD,H1,-0.763,-0.52,-1.139,-2.04,13.34,664,-1.22,0.91,0.09,-2.22,5.3,0.1
?,bb_mtf,EURUSD,H1,-0.119,0.036,-0.384,-0.51,9.25,847,0.41,0.91,0.17,-0.67,10.5,0.24
?,hop_luu_2/3,EURUSD,H1,-0.137,0.09,-0.517,-0.8,10.48,1354,0.53,0.91,0.21,-0.59,12.8,0.47
?,hop_luu_3/3,EURUSD,H1,0.285,0.262,0.324,1.11,6.32,557,2.38,0.91,0.24,1.23,14.7,0.22
?,pha_ASI->LON_b0.0,EURUSD,H1,-0.247,-0.236,-0.269,-0.96,9.59,1375,0.68,0.91,0.06,-0.29,3.9,0.15
?,pha_ASI->LON_b0.25,EURUSD,H1,-0.333,-0.386,-0.245,-1.19,10.7,1221,0.43,0.91,0.06,-0.54,3.6,0.12
?,pha_ASI->OVE_b0.0,EURUSD,H1,-0.678,-0.395,-1.249,-3.19,20.44,1537,-0.17,0.91,0.06,-1.14,3.6,0.15
?,pha_ASI->OVE_b0.25,EURUSD,H1,-0.546,-0.245,-1.167,-2.4,15.49,1447,0.17,0.91,0.06,-0.8,3.5,0.14
?,pha_LON->OVE_b0.0,EURUSD,H1,-1.108,-0.799,-1.704,-4.26,27.3,1255,-1.19,0.91,0.05,-2.15,3.0,0.1
?,pha_LON->OVE_b0.25,EURUSD,H1,-0.872,-0.684,-1.267,-2.99,19.39,1081,-0.79,0.91,0.05,-1.75,2.8,0.08
?,pha_ngay_truoc,EURUSD,H1,-0.804,-0.766,-0.876,-5.8,37.9,1225,-1.28,0.97,0.32,-2.56,19.2,0.64
?,rsi_goc,GBPUSD,H1,0.28,0.568,-0.255,1.5,8.03,553,1.7,1.2,0.33,0.18,19.8,0.3
?,bb_goc,GBPUSD,H1,-0.247,-0.152,-0.451,-1.68,15.67,1382,0.51,1.2,0.22,-0.9,13.2,0.49
?,bb_phien_LON,GBPUSD,H1,-0.097,0.17,-0.634,-0.51,17.93,852,1.16,1.2,0.17,-0.21,10.4,0.24
?,bb_phien_OVE,GBPUSD,H1,-0.295,-0.276,-0.338,-1.5,16.27,891,-0.03,1.2,0.19,-1.42,11.6,0.28
?,bb_phien_ASI,GBPUSD,H1,-0.279,-0.212,-0.425,-1.45,11.82,932,0.15,1.2,0.2,-1.25,12.1,0.31
?,bb_phien_LON+OVE,GBPUSD,H1,-0.046,0.134,-0.411,-0.28,12.99,1158,1.06,1.2,0.18,-0.32,10.9,0.34
?,bb_vol_THAP,GBPUSD,H1,-0.374,-0.237,-0.668,-1.75,14.0,1186,0.47,1.2,0.12,-0.85,7.3,0.23
?,bb_vol_CAO,GBPUSD,H1,-0.372,-0.346,-0.431,-1.83,13.8,1228,0.13,1.2,0.13,-1.19,7.7,0.26
?,bb_adx<25,GBPUSD,H1,-0.36,-0.312,-0.462,-1.52,12.72,1041,0.35,1.2,0.1,-0.95,6.3,0.18
?,bb_volTHAP+adx,GBPUSD,H1,-0.463,-0.447,-0.511,-1.48,10.76,700,0.15,1.2,0.08,-1.13,5.0,0.09
