nhóm,họ,cặp,tf,ALL,FORM,OOS,ann%,maxDD%,n_lệnh,gross,phí,swap,net,giữ,%tt
XU HƯỚNG,ma_cross,EURUSD,M30,-0.449,-0.299,-0.722,-4.11,31.98,494,0.64,1.82,1.27,-2.45,154.2,1.0
XU HƯỚNG,macd,EURUSD,M30,-0.671,-0.683,-0.652,-4.3,29.24,2880,0.02,0.91,0.11,-0.99,13.4,0.51
XU HƯỚNG,donchian,EURUSD,M30,-0.786,-0.802,-0.766,-5.17,33.83,779,-2.31,0.91,0.41,-3.63,49.1,0.5
XU HƯỚNG,keltner,EURUSD,M30,-1.23,-1.116,-1.444,-7.93,50.9,2213,-1.25,0.91,0.13,-2.3,16.2,0.47
XU HƯỚNG,adx_trend,EURUSD,M30,-0.658,-0.772,-0.455,-4.1,29.75,1437,-0.44,1.0,0.2,-1.64,23.9,0.45
HỒI QUY,rsi_mr,EURUSD,M30,-0.2,-0.113,-0.356,-0.94,11.3,1099,0.37,0.91,0.17,-0.7,20.2,0.29
HỒI QUY,bb_mr,EURUSD,M30,-0.49,-0.429,-0.607,-3.01,23.03,2922,0.39,0.91,0.1,-0.62,12.1,0.47
HỒI QUY,stoch_mr,EURUSD,M30,-0.89,-0.925,-0.836,-5.79,39.41,5427,0.3,0.91,0.06,-0.67,7.3,0.52
BIẾN ĐỘNG,squeeze,EURUSD,M30,-0.708,-0.605,-0.898,-4.35,30.19,1184,-1.69,0.91,0.2,-2.8,24.3,0.38
BIẾN ĐỘNG,range_expand,EURUSD,M30,-0.405,-0.583,-0.077,-2.32,23.65,1838,0.2,0.92,0.1,-0.83,12.6,0.3
XU HƯỚNG,ma_cross,GBPUSD,M30,-0.578,-0.488,-0.778,-6.01,49.62,527,-0.75,2.4,1.2,-4.35,144.9,1.0
XU HƯỚNG,macd,GBPUSD,M30,-0.83,-0.722,-1.048,-6.01,41.44,2944,-0.1,1.2,0.11,-1.41,13.1,0.5
XU HƯỚNG,donchian,GBPUSD,M30,-0.72,-0.864,-0.449,-5.41,37.95,778,-1.95,1.2,0.41,-3.56,49.1,0.5
XU HƯỚNG,keltner,GBPUSD,M30,-1.259,-1.332,-1.156,-9.14,58.24,2225,-1.0,1.2,0.13,-2.33,16.2,0.47
XU HƯỚNG,adx_trend,GBPUSD,M30,-1.134,-1.089,-1.249,-7.39,47.08,1496,-0.98,1.34,0.18,-2.5,22.3,0.44
HỒI QUY,rsi_mr,GBPUSD,M30,-0.679,-0.945,-0.181,-3.68,27.37,1118,-1.15,1.2,0.17,-2.52,20.5,0.3
