,H1·jump_126d,M30·jump_126d,M30·jump_63d,H1·drawdown_63d,H1·jump_63d,CrossMeanRev_H1,CrossXsRev_H4,CurrencyReversal_D1,CurrencyCarry_D1,CrossMomentum_D1
2020-01-01,,0.0,0.0,,,,,,,
2020-01-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-04,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-01-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,0.0,0.0,,1.8874797818033064,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-01-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,0.0,0.0,,-18.93612988205112,0.0,0.0,0.0
2020-01-14,0.0,0.0,0.0,0.0,0.0,,3.142113604473891,0.0,0.0,0.0
2020-01-15,0.0,0.0,0.0,0.0,0.0,,-12.735705352789976,0.0,0.0,0.0
2020-01-16,0.0,0.0,0.0,0.0,0.0,,-5.136224444134008,0.0,0.0,0.0
2020-01-17,0.0,0.0,0.0,0.0,0.0,,11.777308305028157,0.0,0.0,0.0
2020-01-18,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-01-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-01-20,0.0,0.0,0.0,0.0,0.0,,9.069163351841647,0.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0,0.0,,-21.63316327552111,0.0,0.0,0.0
2020-01-22,0.0,0.0,0.0,0.0,0.0,,-5.979232379571825,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0,0.0,,-4.779723741018188,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0,0.0,,-5.7982205758624135,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0
2020-01-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
