tf,family,exit,ALL,FORM,OOS,n_lệnh,thắng%,gross/lệnh,phí/lệnh,net/lệnh,n_cụ
H1,zband,sl_tp_2R,-2.259,-2.217,-2.383,20485,33.1,-3.25,2.23,-5.48,27
H1,zband,sl_tp_3R,-2.717,-2.759,-2.657,19913,28.4,-4.54,2.37,-6.91,27
H1,zband,sl_be_3R,-4.03,-3.944,-4.236,21287,16.5,-6.21,2.13,-8.34,27
H1,zband,time_only,0.303,0.449,0.043,8529,61.0,5.83,4.1,1.73,27
H1,rsi_ext,sl_tp_2R,-2.308,-2.375,-2.207,18076,32.2,-3.31,2.25,-5.56,27
H1,rsi_ext,sl_tp_3R,-2.852,-2.839,-2.898,17745,27.1,-4.81,2.38,-7.19,27
H1,rsi_ext,sl_be_3R,-4.264,-4.14,-4.583,18724,16.1,-6.33,2.12,-8.45,27
H1,rsi_ext,time_only,0.035,0.337,-0.52,7918,58.9,4.38,4.18,0.21,27
H1,bb_pierce,sl_tp_2R,-4.224,-4.277,-4.226,39130,38.7,-4.43,2.03,-6.46,27
H1,bb_pierce,sl_tp_3R,-4.451,-4.47,-4.541,38276,36.9,-5.07,2.07,-7.13,27
H1,bb_pierce,sl_be_3R,-5.612,-5.579,-5.881,41125,27.8,-5.78,1.98,-7.76,27
H1,bb_pierce,time_only,-0.578,-0.628,-0.49,18648,60.6,1.19,2.81,-1.62,27
H1,donchian,sl_tp_2R,-0.499,-0.343,-0.916,255,31.0,-1.49,1.99,-3.48,7
H1,donchian,sl_tp_3R,-0.079,0.16,-0.717,253,26.1,1.37,2.07,-0.69,7
H1,donchian,sl_be_3R,-0.257,-0.022,-0.839,254,17.3,0.19,1.99,-1.8,7
H1,donchian,time_only,0.189,0.425,-0.403,229,48.9,9.8,4.47,5.33,7
H1,squeeze,sl_tp_2R,-0.726,-0.69,-0.797,99,28.3,-4.94,1.98,-6.91,7
H1,squeeze,sl_tp_3R,-0.362,-0.491,-0.131,99,26.3,-2.05,2.04,-4.09,7
