chân,không có,trail 1,trail 2,trail 3,trail 4,trail 6,trail 8,BE 0.5,BE 1,BE 2,BE 3
AccelGBPNZDH1,4.92,4.719,4.92,4.92,4.92,4.92,4.92,4.946,4.92,4.92,4.92
RsiDivGBPNZDM30,3.358,1.923,3.163,3.38,3.311,3.358,3.358,2.992,3.296,3.358,3.358
RsiDivNZDCADH1,1.808,1.861,1.849,1.808,1.808,1.808,1.808,1.777,1.93,1.808,1.808
RsiDivNZDCADM30,1.298,1.063,1.308,1.298,1.298,1.298,1.298,1.374,1.337,1.298,1.298
StreakAUDCADM30,1.831,0.859,1.629,1.831,1.831,1.831,1.831,1.668,1.809,1.831,1.831
StreakGBPAUDH1,2.835,2.88,2.835,2.835,2.835,2.835,2.835,2.711,2.835,2.835,2.835
StreakGBPCADH1,1.943,1.335,1.943,1.943,1.943,1.943,1.943,1.514,1.943,1.943,1.943
VolRegimeAUDCHFM30,2.332,1.633,2.332,2.332,2.332,2.332,2.332,2.294,2.332,2.332,2.332
VolRegimeGBPAUDH1,2.658,2.563,2.658,2.658,2.658,2.658,2.658,2.586,2.658,2.658,2.658
VolRegimeGBPCHFM30,5.451,5.451,5.451,5.451,5.451,5.451,5.451,5.451,5.451,5.451,5.451
ZBandAUDCADH1,1.12,0.102,0.939,1.12,1.12,1.12,1.12,1.184,1.12,1.12,1.12
ZBandAUDCADH4,3.508,-0.276,2.006,1.782,3.508,3.508,3.508,2.705,3.508,3.508,3.508
ZBandAUDCADM30,1.222,0.725,1.04,1.222,1.222,1.222,1.222,1.252,1.222,1.222,1.222
ZBandEURCHFH1,1.51,0.81,1.517,1.51,1.51,1.51,1.51,1.466,1.51,1.51,1.51
ZBandEURGBPH1,3.194,-0.042,3.253,2.534,1.944,2.339,1.709,1.787,3.194,3.194,3.194
ZBandGBPAUDH1,2.044,0.334,1.287,2.044,2.044,2.044,2.044,1.927,2.022,2.044,2.044
ZBandGBPAUDH4,1.905,-1.638,1.38,1.413,1.707,1.905,1.905,1.307,1.905,1.905,1.905
ZBandGBPAUDM30,2.327,1.208,1.971,2.327,2.327,2.327,2.327,2.349,2.327,2.327,2.327
ZBandGBPNZDH4,2.286,0.221,1.803,2.286,2.286,2.286,2.286,2.299,2.286,2.286,2.286
ZBandGBPUSDH1,3.06,3.0,3.168,3.115,2.421,1.978,3.06,4.067,3.017,3.06,3.06
ZBandNZDCADH1,1.308,0.233,1.312,1.22,1.308,1.308,1.308,1.272,1.35,1.308,1.308
ZBandNZDCADM30,1.008,0.393,1.025,0.958,1.008,1.008,1.008,1.044,1.05,1.008,1.008
