label,n_days,ann_ret_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,hit_rate,gross_ann_pct,cost_ann_pct
MOM lb=21 ALL,2046,-5.08,5.52,-0.741,-1.039,33.6,-0.151,0.462,-3.82,0.27
MOM lb=21 DEV,1249,-4.81,5.99,-0.646,-0.911,20.92,-0.23,0.458,-3.6,0.26
MOM lb=21 OOS,797,-5.52,4.68,-0.946,-1.329,14.86,-0.371,0.468,-4.16,0.27
REV lb=21 ALL,2046,4.41,5.51,0.645,0.914,8.16,0.541,0.514,3.82,0.27
REV lb=21 DEV,1249,4.15,5.99,0.558,0.792,8.16,0.509,0.504,3.6,0.26
REV lb=21 OOS,797,4.84,4.68,0.831,1.211,5.68,0.853,0.528,4.16,0.27
MOM lb=63 ALL,2046,-0.81,5.45,-0.12,-0.16,20.8,-0.039,0.479,-0.5,0.16
MOM lb=63 DEV,1249,-1.02,5.88,-0.14,-0.186,12.77,-0.08,0.464,-0.67,0.15
MOM lb=63 OOS,797,-0.49,4.69,-0.083,-0.113,10.01,-0.049,0.504,-0.22,0.17
REV lb=63 ALL,2046,0.42,5.45,0.062,0.087,11.67,0.036,0.477,0.5,0.16
REV lb=63 DEV,1249,0.64,5.88,0.088,0.122,11.2,0.057,0.469,0.67,0.15
REV lb=63 OOS,797,0.07,4.69,0.012,0.017,11.67,0.006,0.489,0.22,0.17
MOM lb=126 ALL,2046,0.18,5.29,0.028,0.036,15.56,0.012,0.475,0.26,0.11
MOM lb=126 DEV,1249,2.7,5.42,0.401,0.514,8.47,0.319,0.466,2.27,0.1
MOM lb=126 OOS,797,-3.77,5.07,-0.597,-0.792,12.15,-0.31,0.488,-2.91,0.12
REV lb=126 ALL,2046,-0.45,5.29,-0.069,-0.1,16.73,-0.027,0.453,-0.26,0.11
REV lb=126 DEV,1249,-2.95,5.42,-0.438,-0.641,16.73,-0.176,0.416,-2.27,0.1
REV lb=126 OOS,797,3.47,5.07,0.55,0.795,4.63,0.75,0.509,2.91,0.12
MOM lb=189 ALL,2046,0.76,5.04,0.121,0.153,14.68,0.052,0.462,0.7,0.09
MOM lb=189 DEV,1249,2.11,5.33,0.319,0.392,10.7,0.197,0.436,1.77,0.07
MOM lb=189 OOS,797,-1.37,4.53,-0.243,-0.322,8.82,-0.155,0.503,-0.98,0.12
REV lb=189 ALL,2046,-0.98,5.04,-0.156,-0.214,18.87,-0.052,0.434,-0.7,0.09
REV lb=189 DEV,1249,-2.29,5.34,-0.346,-0.478,18.87,-0.121,0.396,-1.77,0.07
REV lb=189 OOS,797,1.08,4.53,0.192,0.264,5.98,0.181,0.493,0.98,0.12
MOM lb=252 ALL,2046,1.34,5.2,0.207,0.249,12.25,0.109,0.452,1.16,0.08
MOM lb=252 DEV,1249,1.33,5.35,0.2,0.228,12.25,0.109,0.42,1.14,0.06
MOM lb=252 OOS,797,1.35,4.96,0.219,0.292,6.57,0.206,0.502,1.2,0.12
REV lb=252 ALL,2046,-1.55,5.2,-0.24,-0.337,14.78,-0.105,0.413,-1.16,0.08
REV lb=252 DEV,1249,-1.49,5.35,-0.224,-0.325,14.78,-0.101,0.361,-1.14,0.06
REV lb=252 OOS,797,-1.64,4.96,-0.266,-0.359,7.94,-0.206,0.494,-1.2,0.12
