lb,rb,n,sharpe_all,sharpe_oos,ann_pct,cost_pct
10,5,2,0.13,0.82,0.98,0.88
10,5,3,0.14,0.88,0.84,0.77
10,10,2,0.13,0.5,0.95,0.62
10,10,3,0.07,0.89,0.41,0.53
10,21,2,0.52,0.77,4.04,0.3
10,21,3,0.75,1.0,4.46,0.26
10,42,2,0.02,0.09,0.16,0.14
10,42,3,0.09,-0.02,0.5,0.12
15,5,2,0.04,0.7,0.35,0.79
15,5,3,-0.01,0.48,-0.08,0.64
15,10,2,-0.13,0.32,-0.93,0.51
15,10,3,0.07,0.35,0.41,0.44
15,21,2,0.44,0.8,3.19,0.3
15,21,3,0.67,0.81,3.76,0.26
15,42,2,-0.27,0.01,-1.87,0.13
15,42,3,-0.09,0.02,-0.48,0.12
21,5,2,0.0,0.29,0.03,0.67
21,5,3,0.06,0.29,0.35,0.57
21,10,2,0.11,0.73,0.87,0.45
21,10,3,0.24,0.81,1.39,0.37
21,21,2,0.5,0.54,3.62,0.31
21,21,3,0.64,0.83,3.56,0.27
21,42,2,-0.27,-0.43,-1.92,0.13
21,42,3,-0.13,-0.11,-0.7,0.12
30,5,2,0.25,0.58,1.94,0.6
30,5,3,0.27,0.57,1.62,0.49
30,10,2,0.35,0.31,2.64,0.4
30,10,3,0.31,0.37,1.84,0.33
30,21,2,0.27,0.44,1.99,0.26
30,21,3,0.26,0.5,1.52,0.23
30,42,2,-0.13,-0.02,-0.95,0.14
30,42,3,-0.09,0.08,-0.53,0.13
42,5,2,0.13,0.04,1.02,0.52
42,5,3,0.26,0.45,1.57,0.45
42,10,2,0.09,-0.09,0.69,0.34
42,10,3,0.42,0.78,2.45,0.3
42,21,2,0.29,0.03,2.17,0.22
42,21,3,0.24,0.4,1.44,0.19
42,42,2,-0.03,-0.47,-0.25,0.13
42,42,3,-0.13,-0.22,-0.72,0.12
63,5,2,0.3,0.67,2.36,0.43
63,5,3,0.33,0.33,1.93,0.38
63,10,2,0.37,0.52,2.78,0.29
63,10,3,0.41,0.23,2.32,0.24
63,21,2,0.09,0.32,0.66,0.19
63,21,3,0.06,0.01,0.34,0.16
63,42,2,-0.43,-0.54,-3.14,0.11
63,42,3,-0.4,-0.71,-2.19,0.1
