label,n_days,ann_ret_pct,ann_vol_pct,sharpe,sortino,max_dd_pct,calmar,hit_rate,cfg,win
REV thuần DEV,1249,4.15,5.99,0.558,0.792,8.16,0.509,0.504,REV thuần,DEV
REV thuần OOS,797,4.84,4.68,0.831,1.211,5.68,0.853,0.528,REV thuần,OOS
REV thuần ALL,2046,4.41,5.51,0.645,0.914,8.16,0.541,0.514,REV thuần,ALL
MOM thuần DEV,1249,-4.81,5.99,-0.646,-0.911,20.92,-0.23,0.458,MOM thuần,DEV
MOM thuần OOS,797,-5.52,4.68,-0.946,-1.329,14.86,-0.371,0.468,MOM thuần,OOS
MOM thuần ALL,2046,-5.08,5.52,-0.741,-1.039,33.6,-0.151,0.462,MOM thuần,ALL
SWITCH rev/mom DEV,1249,8.41,5.97,1.133,1.687,7.39,1.138,0.512,SWITCH rev/mom,DEV
SWITCH rev/mom OOS,797,4.14,4.69,0.71,1.017,4.01,1.033,0.526,SWITCH rev/mom,OOS
SWITCH rev/mom ALL,2046,6.74,5.51,0.985,1.445,7.39,0.912,0.518,SWITCH rev/mom,ALL
REV + nghỉ khi crisis DEV,1249,6.34,5.34,0.956,1.265,7.05,0.899,0.424,REV + nghỉ khi crisis,DEV
REV + nghỉ khi crisis OOS,797,4.55,3.79,0.965,1.279,3.15,1.446,0.424,REV + nghỉ khi crisis,OOS
REV + nghỉ khi crisis ALL,2046,5.64,4.79,0.947,1.238,7.05,0.799,0.424,REV + nghỉ khi crisis,ALL
