tf,win_d,n_leg,reb_d,ALL,FORM,OOS,gross,phi,phi%,turn/nam
M30,3,3,1,-0.163,-0.138,-0.212,0.0267,0.0373,139.8,37.9
M30,3,3,2,0.173,0.299,-0.089,0.0346,0.0224,64.7,21.2
M30,3,5,1,-0.044,0.036,-0.199,0.027,0.0296,109.8,30.1
M30,3,5,2,0.303,0.475,-0.041,0.0383,0.0192,50.0,18.3
M30,3,7,1,0.02,0.13,-0.187,0.0248,0.0237,95.6,24.0
M30,3,7,2,0.28,0.406,0.032,0.0317,0.0161,50.6,15.5
M30,5,3,1,-0.005,0.184,-0.362,0.0319,0.0322,101.0,32.2
M30,5,3,2,0.192,0.173,0.235,0.0346,0.0212,61.3,19.8
M30,5,3,5,0.26,0.029,0.694,0.0286,0.0112,39.0,8.6
M30,5,5,1,0.122,0.269,-0.148,0.0324,0.025,77.2,24.9
M30,5,5,2,0.345,0.437,0.163,0.0387,0.0171,44.1,16.1
M30,5,5,5,0.279,0.083,0.654,0.0266,0.0095,35.8,7.7
M30,5,7,1,0.247,0.465,-0.169,0.0329,0.0196,59.6,19.4
M30,5,7,2,0.449,0.546,0.26,0.0389,0.0139,35.8,13.1
M30,5,7,5,0.255,0.013,0.721,0.0218,0.0082,37.4,6.7
M30,10,3,1,0.147,0.229,-0.005,0.0359,0.0258,71.8,25.0
M30,10,3,2,0.259,0.236,0.314,0.0366,0.0182,49.8,16.5
M30,10,3,5,0.366,0.297,0.497,0.0358,0.0108,30.1,8.3
M30,10,3,10,-0.349,-0.534,0.005,-0.0152,0.0073,725146895.7,4.3
M30,10,5,1,0.145,0.179,0.082,0.028,0.019,67.7,18.2
M30,10,5,2,0.341,0.333,0.365,0.0353,0.0139,39.3,12.5
M30,10,5,5,0.257,0.069,0.59,0.0246,0.0089,36.1,6.8
M30,10,5,10,-0.496,-0.769,0.006,-0.0223,0.006,595231451.5,3.7
M30,10,7,1,0.146,0.197,0.052,0.0229,0.0148,64.9,14.0
M30,10,7,2,0.41,0.41,0.417,0.0338,0.0113,33.3,9.9
M30,10,7,5,0.188,-0.028,0.568,0.0176,0.0075,42.3,5.7
M30,10,7,10,-0.363,-0.683,0.215,-0.0128,0.0054,538304940.7,3.2
M30,20,3,1,0.141,0.175,0.078,0.0294,0.0196,66.7,18.5
M30,20,3,2,0.32,0.21,0.545,0.0366,0.0143,38.9,12.6
