,XsZ_H4,XsZ_M30,CrossMeanRev_H1,CurrencyReversal_D1,CurrencyCarry_D1,CrossMomentum_D1
2020-01-01,,0.0,,,,
2020-01-02,0.0,0.0,,0.0,0.0,0.0
2020-01-03,0.0,0.0,,0.0,0.0,0.0
2020-01-04,0.0,0.0,,,,0.0
2020-01-05,0.0,0.0,,0.0,0.0,0.0
2020-01-06,0.0,0.0,,0.0,0.0,0.0
2020-01-07,0.0,0.0,,0.0,0.0,0.0
2020-01-08,0.0,0.0,,0.0,0.0,0.0
2020-01-09,0.0,0.0,,0.0,0.0,0.0
2020-01-10,1.8874797818033064,0.0,,0.0,0.0,0.0
2020-01-11,0.0,0.0,,,,0.0
2020-01-12,0.0,0.0,,0.0,0.0,0.0
2020-01-13,-18.93612988205112,0.0,,0.0,0.0,0.0
2020-01-14,3.142113604473891,0.0,,0.0,0.0,0.0
2020-01-15,-12.735705352789976,0.0,,0.0,0.0,0.0
2020-01-16,-5.136224444134008,0.0,,0.0,0.0,0.0
2020-01-17,11.777308305028157,0.0,,0.0,0.0,0.0
2020-01-18,0.0,0.0,,,,0.0
2020-01-19,0.0,0.0,,0.0,0.0,0.0
2020-01-20,9.069163351841647,-3.182423402900582,,0.0,0.0,0.0
2020-01-21,-21.63316327552111,13.845380475644694,,0.0,0.0,0.0
2020-01-22,-5.979232379571825,18.7154884525228,,0.0,0.0,0.0
2020-01-23,-4.779723741018188,14.293721502488227,,0.0,0.0,0.0
2020-01-24,-5.7982205758624135,-0.7040065961900148,,0.0,0.0,0.0
2020-01-25,0.0,0.0,,,,0.0
2020-01-26,0.0,-22.211595684656793,,0.0,0.0,0.0
2020-01-27,27.612667804695306,-28.393164331101126,,0.0,0.0,0.0
2020-01-28,21.278974567138672,14.31280438807283,,0.0,0.0,0.0
2020-01-29,-6.827983371880437,-14.770750295477308,,0.0,0.0,0.0
2020-01-30,-36.065903219735205,-56.59671738327543,,0.0,0.0,0.0
2020-01-31,-74.19453084342199,-63.89335023727711,,0.0,0.0,0.0
2020-02-01,0.0,0.0,,,,0.0
2020-02-02,0.0,5.7382321796763325,,0.0,0.0,0.0
2020-02-03,48.90294331234545,48.353797388049685,,0.0,0.0,0.0
2020-02-04,45.103773743412226,49.04500340127623,,0.0,0.0,0.0
2020-02-05,13.760274978731102,41.923840483255354,,0.0,0.0,0.0
2020-02-06,-3.415812230769931,-1.5850223826084286,,0.0,0.0,0.0
2020-02-07,38.89912869046764,1.1946907866738314,,0.0,0.0,0.0
2020-02-08,0.0,0.0,,,,0.0
2020-02-09,0.0,-4.101319625889216,,0.0,0.0,0.0
2020-02-10,-3.5667756176023477,2.5192676858531873,,0.0,0.0,0.0
2020-02-11,2.4520844964827533,6.745120164274945,,0.0,0.0,0.0
2020-02-12,3.9618479679954604,24.402663770515804,,0.0,0.0,0.0
2020-02-13,-37.43754041794692,-16.992348198368468,,0.0,0.0,0.0
2020-02-14,-11.818111743614486,-9.242217841859624,,0.0,0.0,0.0
2020-02-15,0.0,0.0,,,,0.0
2020-02-16,0.0,0.11557116776631693,,0.0,0.0,0.0
2020-02-17,17.73759543599804,4.999604280316694,,0.0,0.0,0.0
2020-02-18,-6.735819042264724,-23.95966225294981,,0.0,0.0,0.0
2020-02-19,-2.6965415616308888,14.29553741138621,,0.0,0.0,0.0
2020-02-20,-29.034124432329712,-3.963413199516774,,-45.46633136360173,-1.629838101206556,0.0
2020-02-21,-5.153141255540338,-3.2986867128999173,,24.32271478201982,-42.48118372745504,0.0
2020-02-22,0.0,0.0,,,,0.0
2020-02-23,0.0,2.656286628803763,,-9.11120559083224,-11.947209910668816,0.0
2020-02-24,31.246142282531714,47.58461489181879,,46.83155434550045,-18.047652899918496,0.0
2020-02-25,-19.677669841027786,-32.201063312564166,,4.072609614202645,-48.98174439742353,0.0
2020-02-26,-48.415740580457864,-33.15898004113498,,14.283356662329547,-25.372486552975747,0.0
2020-02-27,-34.62919452158862,-32.0098463679608,,104.51497311495716,-102.26080957431196,0.0
2020-02-28,-116.18511427352662,-85.25941200854676,,33.541572135079996,-85.56684468913316,0.0
2020-02-29,0.0,0.0,,,,0.0
2020-03-01,0.0,-25.655146627936077,,13.401832304496825,-31.758208100560076,0.0
2020-03-02,-12.224385891728716,24.087700357723243,,23.51926571147256,-3.1405944557429666,0.0
2020-03-03,-12.261556639391317,-43.325926373171214,,65.82501650884785,-76.67210409275171,0.0
2020-03-04,39.385574586852655,50.41032077598492,,-22.5507033756424,38.608767833422085,0.0
2020-03-05,-2.12199762724462,-59.78948813161169,,75.99733156256522,-113.58969454573733,0.0
2020-03-06,-27.95339761164759,-45.21016083493417,,73.30241654410952,-80.58438180219933,0.0
2020-03-07,0.0,0.0,,,,0.0
2020-03-08,-52.35513400113585,-156.97294530695507,,130.92799044406624,-194.3575281568952,0.0
2020-03-09,-33.010961049513185,-40.91048849481866,,46.548556437802894,-26.37376379855147,0.0
2020-03-10,35.902083190356265,47.88142148995256,,-92.56354273192646,81.24150733699746,0.0
2020-03-11,-12.89902463757578,-11.822425860884113,,12.852507881717324,9.49581602131393,0.0
2020-03-12,-123.81382166380436,-107.5265583110851,,-42.16748124505282,-29.424678165453457,0.0
2020-03-13,8.178022738494732,59.00767493583247,,-158.28036487927238,182.14799772950877,0.0
2020-03-14,0.0,0.0,,,,0.0
2020-03-15,-83.36973403559881,-47.266965079382324,,31.875103858598365,-83.91149594750848,0.0
2020-03-16,-54.97873720631232,-79.52913512753355,,-103.23715401293873,-95.72061629516612,0.0
2020-03-17,-20.47241777562518,-25.8452989074157,,-40.96587461689639,-21.948883222119417,0.0
2020-03-18,-160.2588380939592,-183.18422673692606,,-226.10440519746157,-255.13807900037764,0.0
2020-03-19,103.93669991312997,110.23311257649885,,197.6857750172761,191.2461500117007,0.0
2020-03-20,43.2865391674344,81.16843680052389,,54.39108632120837,63.115277048579514,0.0
2020-03-21,0.0,0.0,,,,0.0
2020-03-22,-41.285675808337,-4.0694451530508235,,-122.03519534992054,-100.43051903633183,0.0
2020-03-23,30.25211121948074,76.24201864308083,,96.92318008306054,25.889371671983294,0.0
2020-03-24,31.740382578316396,28.016014529982087,,94.93987679132978,97.64795595699984,0.0
